model,measure,Genealogy,Code
knn,precision,0.6738085,0.6799558
multinorm,precision,0.6668369,0.6728062
rf,precision,0.6680441,0.7029069
rpart,precision,0.6692239,0.682724
svmRadial,precision,0.6697888,0.6549434
treebag,precision,0.6685737,0.7014288
knn,recall,0.8438806,0.9290926
multinorm,recall,0.9196766,0.961963
rf,recall,0.9061194,0.9252963
rpart,recall,0.8824129,0.9385
svmRadial,recall,0.9091542,0.9921296
treebag,recall,0.833408,0.9060556
knn,f-measure,0.7488351,0.7851635
multinorm,f-measure,0.7730198,0.791779
rf,f-measure,0.7687526,0.7988416
rpart,f-measure,0.759784,0.7902242
svmRadial,f-measure,0.7707388,0.7890095
treebag,f-measure,0.7418575,0.7906601
