train,test,model,measure,Genealogy,Code
httpclient,jackrabbit,knn,precision,0.7,0.74
httpclient,jackrabbit,multinorm,precision,0.67,0.75
httpclient,jackrabbit,randomForest,precision,0.69,0.76
httpclient,jackrabbit,rpart,precision,0.7,0.72
httpclient,jackrabbit,svmRadial,precision,0.7,0.8
httpclient,jackrabbit,treebag,precision,0.69,0.75
httpclient,jackrabbit,knn,recall,0.62,0.84
httpclient,jackrabbit,multinorm,recall,0.32,0.81
httpclient,jackrabbit,randomForest,recall,0.47,0.86
httpclient,jackrabbit,rpart,recall,0.54,0.97
httpclient,jackrabbit,svmRadial,recall,0.83,0.62
httpclient,jackrabbit,treebag,recall,0.59,0.85
httpclient,jackrabbit,knn,f-measure,0.66,0.79
httpclient,jackrabbit,multinorm,f-measure,0.44,0.78
httpclient,jackrabbit,randomForest,f-measure,0.56,0.8
httpclient,jackrabbit,rpart,f-measure,0.61,0.82
httpclient,jackrabbit,svmRadial,f-measure,0.76,0.7
httpclient,jackrabbit,treebag,f-measure,0.64,0.8
httpclient,lucene,knn,precision,0.5462687,0.5507442
httpclient,lucene,multinorm,precision,0.5945946,0.5513514
httpclient,lucene,randomForest,precision,0.5549738,0.5501355
httpclient,lucene,rpart,precision,0.5445545,0.5491252
httpclient,lucene,svmRadial,precision,0.5425532,0.552381
httpclient,lucene,treebag,precision,0.5583333,0.5471698
httpclient,lucene,knn,recall,0.8318182,0.997549
httpclient,lucene,multinorm,recall,0.2,1
httpclient,lucene,randomForest,recall,0.4818182,0.995098
httpclient,lucene,rpart,recall,0.75,1
httpclient,lucene,svmRadial,recall,0.9272727,0.995098
httpclient,lucene,treebag,recall,0.6090909,0.995098
httpclient,lucene,knn,f-measure,0.6594595,0.7096774
httpclient,lucene,multinorm,f-measure,0.2993197,0.7108014
httpclient,lucene,randomForest,f-measure,0.5158151,0.7085515
httpclient,lucene,rpart,f-measure,0.6309751,0.7089487
httpclient,lucene,svmRadial,f-measure,0.6845638,0.7104112
httpclient,lucene,treebag,f-measure,0.5826087,0.706087
httpclient,rhino,knn,precision,0.7802198,0.8333333
httpclient,rhino,multinorm,precision,0.7647059,0.8661088
httpclient,rhino,randomForest,precision,0.8019802,0.8535565
httpclient,rhino,rpart,precision,0.8015267,0.8091603
httpclient,rhino,svmRadial,precision,0.7913043,0.8869048
httpclient,rhino,treebag,precision,0.7847222,0.8471616
httpclient,rhino,knn,recall,0.3622449,0.7758621
httpclient,rhino,multinorm,recall,0.06632653,0.8922414
httpclient,rhino,randomForest,recall,0.41326531,0.8793103
httpclient,rhino,rpart,recall,0.53571429,0.9137931
httpclient,rhino,svmRadial,recall,0.92857143,0.6422414
httpclient,rhino,treebag,recall,0.57653061,0.8362069
httpclient,rhino,knn,f-measure,0.4947735,0.8035714
httpclient,rhino,multinorm,f-measure,0.1220657,0.8789809
httpclient,rhino,randomForest,f-measure,0.5454545,0.866242
httpclient,rhino,rpart,f-measure,0.6422018,0.8582996
httpclient,rhino,svmRadial,f-measure,0.8544601,0.745
httpclient,rhino,treebag,f-measure,0.6647059,0.8416486
jackrabbit,httpclient,knn,precision,0.5644172,0.6686391
jackrabbit,httpclient,multinorm,precision,0.5628743,0.6629834
jackrabbit,httpclient,randomForest,precision,0.5628743,0.6975309
jackrabbit,httpclient,rpart,precision,0.5289855,0.69375
jackrabbit,httpclient,svmRadial,precision,0.5636364,0.6173469
jackrabbit,httpclient,treebag,precision,0.56875,0.6666667
jackrabbit,httpclient,knn,recall,0.9484536,0.8828125
jackrabbit,httpclient,multinorm,recall,0.9690722,0.9375
jackrabbit,httpclient,randomForest,recall,0.9690722,0.8828125
jackrabbit,httpclient,rpart,recall,0.7525773,0.8671875
jackrabbit,httpclient,svmRadial,recall,0.9587629,0.9453125
jackrabbit,httpclient,treebag,recall,0.9381443,0.765625
jackrabbit,httpclient,knn,f-measure,0.7076923,0.7609428
jackrabbit,httpclient,multinorm,f-measure,0.7121212,0.776699
jackrabbit,httpclient,randomForest,f-measure,0.7121212,0.7793103
jackrabbit,httpclient,rpart,f-measure,0.6212766,0.7708333
jackrabbit,httpclient,svmRadial,f-measure,0.7099237,0.7469136
jackrabbit,httpclient,treebag,f-measure,0.7081712,0.7127273
jackrabbit,lucene,knn,precision,0.5510204,0.5483871
jackrabbit,lucene,multinorm,precision,0.5393258,0.547651
jackrabbit,lucene,randomForest,precision,0.5369318,0.5477793
jackrabbit,lucene,rpart,precision,0.5433526,0.5477793
jackrabbit,lucene,svmRadial,precision,0.5363128,0.544
jackrabbit,lucene,treebag,precision,0.5342857,0.5492578
jackrabbit,lucene,knn,recall,0.9818182,1
jackrabbit,lucene,multinorm,recall,0.8727273,1
jackrabbit,lucene,randomForest,recall,0.8590909,0.997549
jackrabbit,lucene,rpart,recall,0.8545455,0.997549
jackrabbit,lucene,svmRadial,recall,0.8727273,1
jackrabbit,lucene,treebag,recall,0.85,0.997549
jackrabbit,lucene,knn,f-measure,0.7058824,0.7083333
jackrabbit,lucene,multinorm,f-measure,0.6666667,0.707719
jackrabbit,lucene,randomForest,f-measure,0.6608392,0.7072111
jackrabbit,lucene,rpart,f-measure,0.664311,0.7072111
jackrabbit,lucene,svmRadial,f-measure,0.6643599,0.7046632
jackrabbit,lucene,treebag,f-measure,0.6561404,0.7084421
jackrabbit,rhino,knn,precision,0.8,0.8057851
