"","factor","MeanDecreaseGini"
"1","MaxAge",16.2646826301115
"2","AvgAge",15.3016374047365
"3","numChangeOperations",12.5800642909948
"4","AvgAge",17.0678549854461
"5","MaxAge",16.2533014837928
"6","numChangeOperations",13.114181763975
"7","AvgAge",17.7527957453337
"8","MaxAge",17.0449673449905
"9","numChangeOperations",13.27832161363
"10","AvgAge",17.0543096262793
"11","MaxAge",16.9115877037196
"12","numChangeOperations",12.9983516459946
"13","AvgAge",17.8634039506649
"14","MaxAge",16.8822209616422
"15","NumParents_depth_3",12.161682218981
"16","AvgAge",19.104296895952
"17","MaxAge",18.3448177234889
"18","numChangeOperations",13.174000531489
"19","MaxAge",19.7458722008481
"20","AvgAge",18.632246054935
"21","AvgNumChangesLastMonth",12.6738704350574
"22","AvgAge",17.9249454971842
"23","MaxAge",16.851746948338
"24","numChangeOperations",12.9528567266442
"25","AvgAge",18.5620143399284
"26","MaxAge",16.8576622723319
"27","numChangeOperations",13.4739351258077
"28","AvgAge",18.0204538231631
"29","MaxAge",17.5071918440797
"30","NumParents_depth_3",12.3866512000494
"31","AvgAge",19.3261515196775
"32","MaxAge",16.0534781193881
"33","numChangeOperations",12.1440537026409
"34","AvgAge",16.8896633931232
"35","MaxAge",16.7874346261964
"36","numChangeOperations",12.3774069692555
"37","MaxAge",17.8313849381448
"38","AvgAge",17.4421289919425
"39","numChangeOperations",13.6133976487802
"40","AvgAge",17.3395302694934
"41","MaxAge",15.9003805023366
"42","numChangeOperations",12.7462718764599
"43","AvgAge",19.6586647169716
"44","MaxAge",17.5659160458721
"45","numChangeOperations",12.8249845785296
"46","MaxAge",17.3437086363398
"47","AvgAge",17.2788486753225
"48","numChangeOperations",12.8865058744299
"49","AvgAge",17.4838709381168
"50","MaxAge",16.9172250659132
"51","numChangeOperations",12.0704228637672
"52","AvgAge",17.7536738790907
"53","MaxAge",16.7303601628004
"54","numChangeOperations",13.7602924669418
"55","MaxAge",17.4550855170954
"56","AvgAge",17.4005923939481
"57","numChangeOperations",12.6670403463953
"58","MaxAge",18.6313197372351
"59","AvgAge",18.5758700575111
"60","numChangeOperations",12.7535963359877
"61","MaxAge",17.8631290128443
"62","AvgAge",17.5399100482071
"63","AvgNumChangesLastMonth",12.6207490617194
"64","AvgAge",20.0573916477144
"65","MaxAge",17.4211784982336
"66","NumParents_depth_3",13.1392792224854
"67","AvgAge",19.5746979309184
"68","MaxAge",17.749963629351
"69","numChangeOperations",12.8101127022301
"70","AvgAge",17.3961572034924
"71","MaxAge",17.1786885012632
"72","numChangeOperations",13.0430185854672
"73","MaxAge",18.4043184810314
"74","AvgAge",17.4331556867363
"75","numChangeOperations",12.6362736206533
"76","AvgAge",18.858177928056
"77","MaxAge",16.6721567799611
"78","numChangeOperations",13.1520527206397
"79","AvgAge",18.7456082456511
"80","MaxAge",16.3660320401038
"81","numChangeOperations",13.2137364996912
"82","AvgAge",18.1613265780849
"83","MaxAge",17.2727838272161
"84","numChangeOperations",12.5243662788606
"85","AvgAge",18.0764957382624
"86","MaxAge",16.4092247611125
"87","NumParents_depth_3",12.2673802172764
"88","AvgAge",15.9597407377246
"89","MaxAge",15.5523263417148
"90","AvgLastModified",11.6603018397836
"91","MaxAge",16.7972754879107
"92","AvgAge",16.0887259207628
"93","numChangeOperations",12.4286854498665
"94","AvgAge",17.1866920434064
"95","MaxAge",16.2729537003457
"96","numChangeOperations",13.1105771908409
"97","MaxAge",16.7653712274523
"98","AvgAge",15.8752609636901
"99","numChangeOperations",12.99877657846
"100","MaxAge",16.5105281845224
"101","AvgAge",16.0060900604998
"102","AvgLastModified",13.2369074934652
"103","AvgAge",18.6654656809379
"104","MaxAge",16.9466090005031
"105","numChangeOperations",12.9535590419072
"106","AvgAge",17.2502977898913
"107","MaxAge",16.6765961287062
"108","numChangeOperations",13.5876279245174
"109","AvgAge",17.3893321731945
"110","MaxAge",16.5918371220205
"111","numChangeOperations",12.6610513575552
"112","AvgAge",16.4143301394451
"113","MaxAge",16.0104520194955
"114","numChangeOperations",13.1341374145875
"115","AvgAge",18.1731382506344
"116","MaxAge",17.6623112846536
"117","numChangeOperations",13.1574258455545
"118","AvgAge",17.9924847077179
"119","MaxAge",16.5441909169614
"120","numChangeOperations",12.5530545120682
"121","AvgAge",17.4130656053285
"122","MaxAge",15.0889449028311
"123","numChangeOperations",13.9947611686096
"124","AvgAge",17.2901482393305
"125","MaxAge",16.7621625114064
"126","numChangeOperations",13.1973601109644
"127","MaxAge",17.2857230450802
"128","AvgAge",17.0869155284768
"129","numChangeOperations",12.4852547641707
"130","AvgAge",18.1477842514471
"131","MaxAge",17.8153724613691
"132","NumParents_depth_3",13.0559629525278
"133","AvgAge",16.8651831826716
"134","MaxAge",16.340465857467
"135","numChangeOperations",12.6270382829917
"136","AvgAge",17.9467274251174
"137","MaxAge",17.1149436750315
"138","numChangeOperations",12.9079293407661
"139","MaxAge",16.6421460136346
"140","AvgAge",16.3473094247625
"141","numChangeOperations",12.6467329691391
"142","AvgAge",18.0786192648247
"143","MaxAge",16.4319146832923
"144","numChangeOperations",13.1605327650973
"145","AvgAge",17.9297421920069
"146","MaxAge",17.3101614109543
"147","numChangeOperations",13.1735670610295
"148","MaxAge",17.5200734381058
"149","AvgAge",17.5054449349557
"150","numChangeOperations",12.6898979328475
"151","AvgAge",18.4782814286203
"152","MaxAge",16.9577159736706
"153","numChangeOperations",13.1587654308328
"154","AvgAge",17.4570051494164
"155","MaxAge",17.1984218969201
"156","numChangeOperations",13.6095453862737
"157","AvgAge",17.2325069737363
"158","MaxAge",17.0816254673604
"159","numChangeOperations",12.6942739169586
"160","AvgAge",19.4730474470124
"161","MaxAge",16.1946918248258
"162","numChangeOperations",13.2431418474263
"163","AvgAge",18.7795308010721
"164","MaxAge",17.4902846874955
"165","numChangeOperations",12.3549392651354
"166","AvgAge",16.4222556393137
"167","MaxAge",16.0261781543164
"168","numChangeOperations",13.5649310828262
"169","AvgAge",17.1657827375381
"170","MaxAge",15.5036110566131
"171","numChangeOperations",13.3141615024705
"172","AvgAge",17.9887010904653
"173","MaxAge",17.4769991147503
"174","numChangeOperations",12.6987314652147
"175","AvgAge",17.8369301588776
"176","MaxAge",16.2336350706027
"177","numChangeOperations",13.2418977318138
"178","AvgAge",18.059928519115
"179","MaxAge",16.3330384340608
"180","numChangeOperations",12.8733991791556
"181","AvgAge",16.8678395696252
"182","MaxAge",16.600741845073
"183","NumParents_depth_3",12.5503799558052
"184","AvgAge",16.3963041280807
"185","MaxAge",15.607819167749
"186","numChangeOperations",12.7022928998472
"187","AvgAge",18.7371989868005
"188","MaxAge",17.2865289746214
"189","AvgLastModified",12.2422379935247
"190","AvgAge",17.7174180850594
"191","MaxAge",16.5217407926195
"192","numChangeOperations",13.0864887438915
"193","AvgAge",17.4466267379575
"194","MaxAge",17.1832977797861
"195","numChangeOperations",12.4108294059575
"196","AvgAge",17.7456615729589
"197","MaxAge",17.0245773430707
"198","NumParents_depth_3",13.0752312473541
"199","MaxAge",16.83311873513
"200","AvgAge",16.0772888885072
"201","numChangeOperations",13.0675227802481
"202","AvgAge",18.2697444871411
"203","MaxAge",18.0682449878625
"204","numChangeOperations",13.0322012463196
"205","AvgAge",19.0052063890122
"206","MaxAge",16.5558149745187
"207","numChangeOperations",13.13090664055
"208","AvgAge",17.6773219954623
"209","MaxAge",16.7073812965576
"210","numChangeOperations",13.2412123032709
"211","MaxAge",16.0159642031704
"212","AvgAge",15.8195380594165
"213","numChangeOperations",13.3535335629627
"214","AvgAge",19.4626110731802
"215","MaxAge",18.821546580719
"216","numChangeOperations",12.7660331036605
"217","MaxAge",17.5658031264892
"218","AvgAge",17.3417707132597
"219","numChangeOperations",12.7755892298239
"220","MaxAge",17.2378675625645
"221","AvgAge",17.0870334420879
"222","numChangeOperations",14.0913478034005
"223","AvgAge",18.7632255555934
"224","MaxAge",18.374868877346
"225","numChangeOperations",12.3173871575627
"226","AvgAge",18.5795204042994
"227","MaxAge",18.4390587741873
"228","numChangeOperations",12.9058152661415
"229","AvgAge",16.4069268292693
"230","MaxAge",15.4846189963578
"231","numChangeOperations",12.5844309928734
"232","AvgAge",16.9892931804044
"233","MaxAge",16.4164526419057
"234","numChangeOperations",12.8274043603258
"235","MaxAge",16.88215242925
"236","AvgAge",16.2826108682957
"237","numChangeOperations",13.5649732394056
"238","MaxAge",17.2911440505181
"239","AvgAge",16.8428479227721
"240","numChangeOperations",13.601011329505
"241","MaxAge",17.9200243027496
"242","AvgAge",17.8049239335003
"243","numChangeOperations",13.9544299025326
