Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.entity.mime.content.ContentBody",1,0.00,1.00,2,0.01,52.92,1,0,2,1,2,146.43,4,3,2,3,146.20,0.00,0.67,0.00,0,1.00,1,30.46,0,1,0,,0.00,0,2,1,0,0,0,0,1,12,1
"org.apache.http.entity.mime.content.NotThreadSafe",9,2.00,1.33,33,0.32,8976.75,11,2,5,13,0,129.52,8,50,0,2,129.52,0.00,0.50,0.00,1,9.00,3,961.19,0,4,0,AbstractContentBody,0.00,4,1,12,0,4,5,0,3,221,1
"org.apache.http.cookie.ClientCookie",2,10.00,1.00,13,0.17,2680.92,12,10,0,2,5,75.06,14,14,5,2,117.35,0.00,0.50,0.00,0,2.00,1,505.04,0,1,0,,0.00,0,1,2,0,0,1,0,3,108,1
"org.apache.http.cookie.Cookie",12,0.00,1.00,13,0.04,141.89,12,0,1,12,20,130.33,78,14,20,1,162.55,0.00,0.00,0.00,0,12.00,1,121.26,0,7,0,,0.00,0,0,12,0,0,5,0,13,57,1
"org.apache.http.cookie.CookieAttributeHandler",3,0.00,1.00,4,0.03,138.66,3,0,0,3,9,113.76,34,7,7,1,157.89,0.00,0.00,0.00,0,3.00,1,100.44,0,0,2,,0.00,0,0,3,0,0,3,0,4,33,1
"org.apache.http.cookie.CookieSpec",6,0.00,1.00,7,0.06,316.39,6,0,2,6,9,108.96,61,8,8,1,157.44,0.00,0.00,0.00,0,6.00,1,169.36,0,3,1,,0.00,0,0,6,0,0,3,0,7,56,1
"org.apache.http.cookie.CookieSpecFactory",1,0.00,1.00,2,0.01,30.51,1,0,1,1,2,110.52,12,3,1,1,148.08,0.00,0.00,0.00,0,1.00,1,25.51,0,1,1,,0.00,0,0,1,0,0,0,0,2,11,1
"org.apache.http.cookie.Immutable",2,1.00,3.50,20,0.20,6335.37,3,1,3,6,1,57.74,16,26,0,1,105.84,0.00,0.00,0.00,1,2.00,4,593.90,0,1,1,java.lang.Object,0.00,4,0,7,0,4,1,2,2,132,1
"org.apache.http.cookie.SM",0,0.00,0.00,5,0.05,743.92,4,4,0,0,3,171.00,6,6,3,1,171.00,0.00,0.00,0.00,0,0.00,0,163.50,0,0,0,,0.00,0,0,0,0,0,0,0,1,40,1
"org.apache.http.cookie.SetCookie",7,0.00,1.00,8,0.04,144.76,7,0,1,7,5,112.54,60,9,5,2,160.64,0.00,0.50,0.00,0,7.00,1,126.66,0,0,0,,0.00,0,1,7,0,0,7,0,7,49,1
