Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.cookie.ClientCookie",2,10.00,1.00,13,0.17,2680.92,12,10,0,2,12,75.06,15,14,12,2,117.35,0.00,0.50,0.00,0,2.00,1,505.04,0,1,0,,0.00,0,1,2,0,0,1,0,3,108,1
"org.apache.http.cookie.Cookie",12,0.00,1.00,13,0.04,141.89,12,0,1,12,35,130.33,76,14,35,1,162.55,0.00,0.00,0.00,0,12.00,1,121.26,0,7,0,,0.00,0,0,12,0,0,5,0,13,57,1
"org.apache.http.cookie.CookieAttributeHandler",3,0.00,1.00,4,0.03,138.66,3,0,0,3,21,113.76,35,7,17,1,157.89,0.00,0.00,0.00,0,3.00,1,100.44,0,0,4,,0.00,0,0,3,0,0,3,0,4,33,1
"org.apache.http.cookie.CookieIdentityComparator",1,0.00,4.00,14,0.16,5262.30,1,0,1,5,2,54.50,11,19,1,1,98.62,0.00,0.00,0.00,0,1.00,4,467.30,0,0,1,java.lang.Object,0.00,4,0,4,0,4,1,1,2,99,1
"org.apache.http.cookie.CookieOrigin",6,4.00,2.00,41,0.41,14747.31,10,4,1,14,32,165.11,8,57,32,1,115.11,0.00,0.00,0.00,0,6.00,6,1220.79,0,3,0,java.lang.Object,0.00,8,0,12,0,8,3,0,1,265,2
"org.apache.http.cookie.CookiePathComparator",2,0.00,3.50,21,0.20,7055.58,2,0,1,6,3,63.18,15,27,2,1,105.47,0.00,0.00,0.00,1,2.00,4,589.16,0,1,1,java.lang.Object,0.00,4,0,7,0,4,1,1,2,130,1
"org.apache.http.cookie.CookieSpec",6,0.00,1.00,7,0.05,214.62,6,0,1,6,16,110.29,63,8,13,1,158.77,0.00,0.00,0.00,0,6.00,1,143.73,0,2,3,,0.00,0,0,6,0,0,4,0,7,50,1
"org.apache.http.cookie.CookieSpecFactory",1,0.00,1.00,2,0.01,30.51,1,0,1,1,6,115.86,6,3,5,1,148.08,0.00,0.00,0.00,0,1.00,1,25.51,0,1,1,,0.00,0,0,1,0,0,0,0,1,11,1
"org.apache.http.cookie.CookieSpecRegistry",6,0.40,1.83,27,0.29,7591.73,7,1,5,16,6,73.97,55,41,4,1,123.97,0.00,0.00,0.67,1,0.00,3,872.06,0,3,2,java.lang.Object,0.00,10,0,11,0,10,3,0,6,197,2
"org.apache.http.cookie.MalformedCookieException",3,1.00,1.00,8,0.05,538.90,4,1,1,3,33,99.73,23,12,33,2,142.02,0.00,0.50,0.00,0,3.00,1,153.79,0,0,0,org.apache.http.ProtocolException,0.00,0,1,3,0,0,3,0,4,46,1
"org.apache.http.cookie.SM",0,0.00,0.00,5,0.05,743.92,4,4,0,0,7,171.00,7,6,7,1,171.00,0.00,0.00,0.00,0,0.00,0,163.50,0,0,0,,0.00,0,0,0,0,0,0,0,1,40,1
"org.apache.http.cookie.SetCookie",7,0.00,1.00,8,0.04,144.76,7,0,1,7,17,112.54,62,9,17,2,160.64,0.00,0.50,0.00,0,7.00,1,126.66,0,0,0,,0.00,0,1,7,0,0,7,0,7,49,1
"org.apache.http.cookie.SetCookie2",3,0.00,1.00,4,0.02,96.69,3,0,0,3,6,116.83,23,5,6,2,159.12,0.00,0.50,0.00,0,3.00,1,68.77,0,0,0,,0.00,0,1,3,0,0,3,0,4,26,1
"org.apache.http.cookie.TestAllCookie",3,0.00,1.00,12,0.12,2866.67,3,0,3,10,5,125.07,0,16,2,2,125.07,0.00,0.50,0.00,0,3.00,1,349.20,0,1,3,junit.framework.TestCase,0.00,7,1,3,0,7,2,0,0,90,1
"org.apache.http.cookie.TestCookieOrigin",8,0.00,1.50,29,0.28,3934.85,8,0,3,16,3,181.91,9,46,2,2,131.91,0.00,0.50,0.00,0,8.00,2,839.18,0,1,1,junit.framework.TestCase,0.00,8,1,12,0,8,7,0,7,205,1
"org.apache.http.cookie.TestCookiePathComparator",8,0.00,1.00,53,0.62,15666.30,8,0,5,14,4,116.05,5,62,2,2,116.05,0.00,0.50,0.00,0,8.00,1,1861.55,0,1,2,junit.framework.TestCase,0.00,6,1,8,0,6,7,0,3,414,1
"org.apache.http.cookie.TestCookiePolicy",5,0.08,2.20,64,0.73,25368.64,8,3,9,21,6,141.27,11,90,2,2,101.38,0.00,0.50,0.40,0,7.00,5,2190.40,0,1,4,junit.framework.TestCase,0.00,16,1,11,0,16,4,0,9,460,1
"org.apache.http.impl.cookie.AbstractCookieAttributeHandler",2,0.00,1.00,4,0.04,321.06,2,0,4,2,9,192.40,2,8,5,1,142.40,0.00,0.00,0.00,0,2.00,1,118.06,0,0,4,java.lang.Object,0.00,0,0,2,5,0,2,1,2,34,2
"org.apache.http.impl.cookie.AbstractCookieSpec",5,1.00,1.60,21,0.20,3933.52,6,1,5,12,5,93.41,31,32,3,1,125.63,0.00,0.00,0.00,1,5.00,3,597.40,0,3,2,java.lang.Object,0.00,7,0,8,6,7,2,1,5,144,2
"org.apache.http.impl.cookie.BasicClientCookie",24,0.05,1.12,87,0.72,17984.29,33,9,6,34,13,88.25,168,116,11,1,130.54,0.00,0.00,0.06,0,288.00,2,2171.52,0,9,2,java.lang.Object,0.00,10,0,27,1,10,15,2,31,529,1
"org.apache.http.impl.cookie.BasicClientCookie2",8,3.00,1.00,20,0.17,2236.16,11,3,2,8,4,190.51,13,29,2,2,140.51,0.00,0.50,0.00,0,8.00,1,503.31,2,1,2,org.apache.http.impl.cookie.BasicClientCookie,0.19,0,1,8,0,0,7,1,2,137,1
