Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.entity.mime.content.AbstractContentBody",4,3.00,1.50,22,0.20,7238.97,7,3,0,7,5,169.18,4,29,4,1,119.18,0.00,0.00,0.00,0,4.00,3,599.84,0,3,1,java.lang.Object,0.00,3,0,6,4,3,1,1,1,136,2
"org.apache.http.entity.mime.content.ByteArrayBody",7,0.33,1.14,21,0.17,3063.97,9,2,4,9,2,152.99,24,30,0,2,132.37,0.00,0.50,0.21,0,18.00,2,500.59,0,3,2,org.apache.http.entity.mime.content.AbstractContentBody,0.00,2,1,8,0,2,4,0,5,130,1
"org.apache.http.entity.mime.content.ContentBody",2,0.00,1.00,3,0.02,80.19,2,0,2,2,4,198.26,4,4,4,2,158.38,0.00,0.50,0.00,0,2.00,1,50.09,0,1,0,,0.00,0,1,2,0,0,1,0,1,19,1
"org.apache.http.entity.mime.content.ContentDescriptor",6,0.00,1.00,7,0.02,63.00,6,0,0,6,0,120.67,45,8,0,1,162.96,0.00,0.00,0.00,0,6.00,1,58.00,0,5,0,,0.00,0,0,6,0,0,1,0,7,29,1
"org.apache.http.entity.mime.content.FileBody",12,0.30,1.33,42,0.43,12070.00,15,3,6,19,4,179.49,13,69,2,2,129.49,0.00,0.50,0.06,1,32.00,3,1290.27,0,5,2,org.apache.http.entity.mime.content.AbstractContentBody,0.00,7,1,16,0,7,7,0,4,300,1
"org.apache.http.entity.mime.content.InputStreamBody",9,2.00,1.33,33,0.31,8152.55,11,2,4,13,5,129.85,7,49,3,2,129.85,0.00,0.50,0.00,1,9.00,3,924.34,0,4,2,org.apache.http.entity.mime.content.AbstractContentBody,0.00,4,1,12,0,4,5,0,2,215,1
"org.apache.http.entity.mime.content.StringBody",13,2.00,1.38,44,0.51,12148.22,15,2,9,22,7,150.35,43,74,5,2,129.73,0.00,0.50,0.00,2,13.00,3,1520.19,0,7,2,org.apache.http.entity.mime.content.AbstractContentBody,0.00,9,1,18,0,9,6,0,8,349,1
"org.apache.http.cookie.ClientCookie",2,10.00,1.00,13,0.17,2680.92,12,10,0,2,5,75.06,14,14,5,2,117.35,0.00,0.50,0.00,0,2.00,1,505.04,0,1,0,,0.00,0,1,2,0,0,1,0,3,108,1
"org.apache.http.cookie.Cookie",12,0.00,1.00,13,0.04,141.89,12,0,1,12,21,130.33,78,14,21,1,162.55,0.00,0.00,0.00,0,12.00,1,121.26,0,7,0,,0.00,0,0,12,0,0,5,0,13,57,1
"org.apache.http.cookie.CookieAttributeHandler",3,0.00,1.00,4,0.03,138.66,3,0,0,3,9,113.76,34,7,7,1,157.89,0.00,0.00,0.00,0,3.00,1,100.44,0,0,2,,0.00,0,0,3,0,0,3,0,4,33,1
"org.apache.http.cookie.CookieSpec",6,0.00,1.00,7,0.06,316.39,6,0,2,6,11,108.96,61,8,10,1,157.44,0.00,0.00,0.00,0,6.00,1,169.36,0,3,1,,0.00,0,0,6,0,0,3,0,7,56,1
