Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.cookie.ClientCookie",2,10.00,1.00,13,0.17,2680.92,12,10,0,2,12,75.06,15,14,12,2,117.35,0.00,0.50,0.00,0,2.00,1,505.04,0,1,0,,0.00,0,1,2,0,0,1,0,3,108,1
"org.apache.http.cookie.Cookie",12,0.00,1.00,13,0.04,141.89,12,0,1,12,36,130.33,76,14,36,1,162.55,0.00,0.00,0.00,0,12.00,1,121.26,0,7,0,,0.00,0,0,12,0,0,5,0,13,57,1
"org.apache.http.cookie.CookieAttributeHandler",3,0.00,1.00,4,0.03,138.66,3,0,0,3,21,113.76,35,7,17,1,157.89,0.00,0.00,0.00,0,3.00,1,100.44,0,0,4,,0.00,0,0,3,0,0,3,0,4,33,1
"org.apache.http.cookie.CookieIdentityComparator",1,0.00,4.00,12,0.13,4263.10,1,0,1,5,2,57.71,11,17,1,1,101.84,0.00,0.00,0.00,0,1.00,4,399.86,0,0,1,java.lang.Object,0.00,4,0,4,0,4,1,1,2,88,1
"org.apache.http.cookie.CookieOrigin",6,4.00,2.00,41,0.41,14747.31,10,4,1,14,32,165.11,8,57,32,1,115.11,0.00,0.00,0.00,0,6.00,6,1220.79,0,3,0,java.lang.Object,0.00,8,0,12,0,8,3,0,1,265,2
"org.apache.http.cookie.CookiePathComparator",2,0.00,3.50,19,0.17,5990.28,2,0,1,6,3,65.45,15,25,2,1,107.74,0.00,0.00,0.00,1,2.00,4,524.40,0,1,1,java.lang.Object,0.00,4,0,7,0,4,1,1,2,119,1
"org.apache.http.cookie.CookieSpec",6,0.00,1.00,7,0.06,316.39,6,0,2,6,16,108.96,63,8,13,1,157.44,0.00,0.00,0.00,0,6.00,1,169.36,0,3,3,,0.00,0,0,6,0,0,3,0,7,56,1
"org.apache.http.cookie.CookieSpecFactory",1,0.00,1.00,2,0.01,30.51,1,0,1,1,6,115.86,6,3,5,1,148.08,0.00,0.00,0.00,0,1.00,1,25.51,0,1,1,,0.00,0,0,1,0,0,0,0,1,11,1
"org.apache.http.cookie.CookieSpecRegistry",6,0.40,1.83,27,0.31,7843.47,7,1,5,16,6,73.86,55,41,4,1,123.86,0.00,0.00,0.67,1,0.00,3,933.24,0,3,2,java.lang.Object,0.00,10,0,11,0,10,3,0,6,209,2
"org.apache.http.cookie.MalformedCookieException",3,1.00,1.00,8,0.05,538.90,4,1,1,3,33,99.73,23,12,33,2,142.02,0.00,0.50,0.00,0,3.00,1,153.79,0,0,0,org.apache.http.ProtocolException,0.00,0,1,3,0,0,3,0,4,46,1
"org.apache.http.cookie.SM",0,0.00,0.00,5,0.05,743.92,4,4,0,0,7,171.00,7,6,7,1,171.00,0.00,0.00,0.00,0,0.00,0,163.50,0,0,0,,0.00,0,0,0,0,0,0,0,1,40,1
"org.apache.http.cookie.SetCookie",7,0.00,1.00,8,0.04,144.76,7,0,1,7,17,112.54,62,9,17,2,160.64,0.00,0.50,0.00,0,7.00,1,126.66,0,0,0,,0.00,0,1,7,0,0,7,0,7,49,1
"org.apache.http.cookie.SetCookie2",3,0.00,1.00,4,0.02,96.69,3,0,0,3,6,116.83,23,5,6,2,159.12,0.00,0.50,0.00,0,3.00,1,68.77,0,0,0,,0.00,0,1,3,0,0,3,0,4,26,1
"org.apache.http.cookie.TestAllCookie",3,0.00,1.00,12,0.12,2866.67,3,0,3,10,5,125.07,0,16,2,2,125.07,0.00,0.50,0.00,0,3.00,1,349.20,0,1,3,junit.framework.TestCase,0.00,7,1,3,0,7,2,0,0,90,1
"org.apache.http.cookie.TestCookieOrigin",8,0.00,1.50,29,0.28,3934.85,8,0,3,16,3,181.91,9,46,2,2,131.91,0.00,0.50,0.00,0,8.00,2,839.18,0,1,1,junit.framework.TestCase,0.00,8,1,12,0,8,7,0,7,205,1
"org.apache.http.cookie.TestCookiePathComparator",8,0.00,1.00,53,0.67,18911.33,8,0,5,14,5,115.41,5,62,2,2,115.41,0.00,0.50,0.00,0,8.00,1,1997.84,0,1,3,junit.framework.TestCase,0.00,6,1,8,0,6,7,0,3,432,1
"org.apache.http.cookie.TestCookiePolicy",5,0.08,2.20,64,0.74,29247.86,8,3,9,21,6,140.78,11,90,2,2,100.90,0.00,0.50,0.40,0,7.00,5,2221.67,0,1,4,junit.framework.TestCase,0.00,16,1,11,0,16,4,0,9,463,1
"org.apache.http.impl.cookie.AbstractCookieAttributeHandler",2,0.00,1.00,4,0.04,321.06,2,0,4,2,9,192.40,2,8,5,1,142.40,0.00,0.00,0.00,0,2.00,1,118.06,0,0,4,java.lang.Object,0.00,0,0,2,5,0,2,1,2,34,2
"org.apache.http.impl.cookie.AbstractCookieSpec",5,1.00,1.60,21,0.21,4319.34,6,1,5,11,5,93.09,31,32,3,1,125.31,0.00,0.00,0.00,1,5.00,3,644.89,0,3,2,java.lang.Object,0.00,6,0,8,6,6,2,1,5,152,2
"org.apache.http.impl.cookie.BasicClientCookie",24,0.05,1.12,87,0.74,19426.27,33,9,6,34,13,87.98,168,116,11,1,130.27,0.00,0.00,0.06,0,288.00,2,2213.32,0,9,2,java.lang.Object,0.00,10,0,27,1,10,15,2,31,535,1
"org.apache.http.impl.cookie.BasicClientCookie2",8,3.00,1.00,20,0.17,2236.16,11,3,2,8,4,190.51,13,29,2,2,140.51,0.00,0.50,0.00,0,8.00,1,503.31,2,1,2,org.apache.http.impl.cookie.BasicClientCookie,0.19,0,1,8,0,0,7,1,2,137,1
"org.apache.http.impl.cookie.BasicCommentHandler",2,0.00,1.50,7,0.06,1034.91,2,0,2,4,7,131.74,0,12,4,2,131.74,0.00,0.50,0.00,0,2.00,2,171.85,0,0,3,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,2,1,3,0,2,2,0,0,44,1
"org.apache.http.impl.cookie.BasicDomainHandler",4,0.00,5.00,43,0.56,24047.16,4,0,5,17,8,143.45,8,70,3,1,103.57,0.00,0.00,0.00,0,4.00,9,1694.20,0,0,5,java.lang.Object,0.00,13,0,20,1,13,4,1,8,328,1
"org.apache.http.impl.cookie.BasicExpiresHandler",2,1.00,3.00,14,0.16,4394.70,3,1,2,6,9,112.91,1,24,4,2,112.91,0.00,0.50,0.00,0,2.00,4,484.94,0,0,5,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,4,1,6,0,4,2,0,1,104,1
"org.apache.http.impl.cookie.BasicMaxAgeHandler",2,0.00,3.00,15,0.18,6546.40,2,0,3,8,7,111.54,0,26,4,2,111.54,0.00,0.50,0.00,0,2.00,5,535.09,0,0,3,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,6,1,6,0,6,2,0,0,106,1
"org.apache.http.impl.cookie.BasicPathHandler",4,0.00,3.25,28,0.40,20134.46,4,0,5,16,9,110.05,2,46,4,1,110.05,0.00,0.00,0.00,0,4.00,7,1196.90,0,0,5,java.lang.Object,0.00,12,0,13,0,12,4,1,2,242,1
"org.apache.http.impl.cookie.BasicSecureHandler",3,0.00,2.33,13,0.13,3261.09,3,0,4,7,9,124.44,0,21,4,2,124.44,0.00,0.50,0.00,0,3.00,4,396.74,0,0,5,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,4,1,7,0,4,3,0,0,92,1
"org.apache.http.impl.cookie.BrowserCompatSpec",6,0.50,3.33,79,1.12,65052.08,8,2,13,39,17,137.28,13,117,2,3,97.40,0.00,0.67,0.08,1,10.00,9,3349.96,1,3,15,org.apache.http.impl.cookie.CookieSpecBase,0.00,33,2,20,0,33,3,0,5,590,1
"org.apache.http.impl.cookie.BrowserCompatSpecFactory",1,0.00,2.00,6,0.06,1283.23,1,0,4,3,6,85.12,6,10,2,1,117.34,0.00,0.00,0.00,0,1.00,2,176.05,0,1,4,java.lang.Object,0.00,2,0,2,0,2,0,1,1,42,1
"org.apache.http.impl.cookie.CookieSpecBase",5,0.00,3.60,56,0.69,39832.06,5,0,8,27,9,151.14,9,69,3,2,101.14,4.00,0.17,0.00,2,5.00,5,2080.77,1,3,6,org.apache.http.impl.cookie.AbstractCookieSpec,0.00,22,1,18,4,22,2,0,3,389,2
"org.apache.http.impl.cookie.DateParseException",2,1.00,1.00,6,0.03,318.41,3,1,0,2,4,103.64,13,9,4,2,135.86,0.00,0.50,0.00,0,2.00,1,99.90,0,0,0,java.lang.Exception,0.00,0,1,2,0,0,2,0,3,31,1
"org.apache.http.impl.cookie.DateUtils",6,0.10,2.33,44,0.59,25833.60,12,6,9,17,8,90.52,86,66,7,1,110.66,0.00,0.00,0.08,2,14.00,7,1755.78,0,5,1,java.lang.Object,0.00,11,0,14,0,11,1,0,15,359,2
"org.apache.http.impl.cookie.DateUtils$DateFormatHolder",1,0.00,3.00,15,0.24,10625.71,1,0,9,12,0,57.61,12,22,0,1,95.17,0.00,0.00,0.00,0,1.00,3,724.08,0,1,0,java.lang.Object,0.00,11,0,3,0,11,0,0,1,149,2
"org.apache.http.impl.cookie.DateUtils$DateFormatHolder$ThreadLocal<SoftReference<Map<String,SimpleDateFormat>>>",1,0.00,1.00,3,0.05,1060.49,1,0,9,3,0,129.38,0,5,0,1,129.38,0.00,0.00,0.00,0,1.00,1,164.53,0,1,0,java.lang.Object,0.00,2,0,1,0,2,0,0,0,45,0
"org.apache.http.impl.cookie.NetscapeDomainHandler",4,0.00,3.00,30,0.40,12934.01,4,0,4,13,6,161.59,7,55,2,2,111.59,0.00,0.50,0.00,1,4.00,5,1208.65,1,0,4,org.apache.http.impl.cookie.BasicDomainHandler,0.00,9,1,12,0,9,4,0,2,246,1
"org.apache.http.impl.cookie.NetscapeDraftHeaderParser",2,0.33,2.50,18,0.28,11630.41,5,3,9,12,3,105.55,0,28,3,1,105.55,0.00,0.00,0.17,0,2.00,4,829.41,0,1,0,java.lang.Object,0.00,10,0,5,0,10,1,0,0,164,1
"org.apache.http.impl.cookie.NetscapeDraftSpec",5,0.00,2.80,56,0.72,35145.68,5,0,13,30,15,53.52,42,71,2,3,101.62,0.00,0.67,0.00,1,5.00,6,2152.78,1,3,13,org.apache.http.impl.cookie.CookieSpecBase,0.00,25,2,14,0,25,2,0,3,403,1
"org.apache.http.impl.cookie.NetscapeDraftSpecFactory",1,0.00,1.00,3,0.02,194.14,1,0,3,2,5,102.96,6,5,2,1,135.18,0.00,0.00,0.00,0,1.00,1,62.11,0,1,3,java.lang.Object,0.00,1,0,1,0,1,0,1,1,19,1
"org.apache.http.impl.cookie.RFC2109DomainHandler",4,0.00,4.75,45,0.68,35859.66,4,0,5,18,7,100.67,3,78,2,1,100.67,0.00,0.00,0.00,0,4.00,10,2044.13,0,0,5,java.lang.Object,0.00,14,0,19,0,14,4,1,3,379,1
"org.apache.http.impl.cookie.RFC2109Spec",11,0.22,2.73,111,1.42,55404.74,15,4,13,41,18,124.93,35,144,3,3,104.31,0.50,0.50,0.05,5,29.00,5,4266.49,2,5,15,org.apache.http.impl.cookie.CookieSpecBase,0.00,30,2,30,1,30,6,0,6,840,1
"org.apache.http.impl.cookie.RFC2109SpecFactory",1,0.00,2.00,6,0.07,1728.53,1,0,4,4,6,84.10,6,11,2,1,116.32,0.00,0.00,0.00,0,1.00,2,219.84,0,1,4,java.lang.Object,0.00,3,0,2,0,3,0,1,1,50,1
"org.apache.http.impl.cookie.RFC2109VersionHandler",3,0.00,3.00,18,0.21,5755.35,3,0,4,11,7,115.87,0,32,2,2,115.87,0.00,0.50,0.00,0,3.00,5,643.29,0,0,5,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,8,1,9,0,8,3,0,0,135,1
"org.apache.http.impl.cookie.RFC2965CommentUrlAttributeHandler",4,0.00,1.25,10,0.09,1445.55,4,0,6,5,7,139.58,3,18,1,1,139.58,0.00,0.00,0.00,0,4.00,2,270.32,0,0,6,java.lang.Object,0.00,1,0,5,0,1,4,1,1,72,1
