Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.cookie.Cookie",22,0.02,1.14,83,0.65,16681.71,32,10,2,29,33,80.50,208,110,33,1,130.49,0.00,0.00,0.08,0,330.00,2,1947.71,0,7,0,java.lang.Object,0.00,7,0,25,0,7,15,0,31,476,1
"org.apache.http.cookie.CookieAttributeHandler",3,0.00,1.00,4,0.03,138.66,3,0,0,3,14,113.76,35,7,11,1,157.89,0.00,0.00,0.00,0,3.00,1,100.44,0,0,3,,0.00,0,0,3,0,0,3,0,4,33,1
"org.apache.http.cookie.CookieIdentityComparator",1,0.00,4.00,14,0.16,5262.30,1,0,1,5,2,54.50,11,19,1,1,98.62,0.00,0.00,0.00,0,1.00,4,467.30,0,0,1,java.lang.Object,0.00,4,0,4,0,4,1,1,2,99,1
"org.apache.http.cookie.CookieOrigin",6,4.00,2.00,41,0.41,14747.31,10,4,1,14,25,165.11,8,57,25,1,115.11,0.00,0.00,0.00,0,6.00,6,1220.79,0,3,0,java.lang.Object,0.00,8,0,12,0,8,3,0,1,265,2
"org.apache.http.cookie.CookiePathComparator",2,0.00,3.50,21,0.20,7055.58,2,0,1,6,3,63.18,15,27,2,1,105.47,0.00,0.00,0.00,1,2.00,4,589.16,0,1,1,java.lang.Object,0.00,4,0,7,0,4,1,1,2,130,1
"org.apache.http.cookie.CookieSpec",4,0.00,1.00,5,0.04,198.62,4,0,1,4,14,128.26,52,6,11,1,157.64,0.00,0.00,0.00,0,4.00,1,127.73,0,1,3,,0.00,0,0,4,0,0,3,0,5,42,1
"org.apache.http.cookie.CookieSpecFactory",1,0.00,1.00,2,0.01,30.51,1,0,1,1,5,115.86,6,3,4,1,148.08,0.00,0.00,0.00,0,1.00,1,25.51,0,1,1,,0.00,0,0,1,0,0,0,0,1,11,1
"org.apache.http.cookie.CookieSpecRegistry",6,0.40,1.83,27,0.29,7591.73,7,1,5,16,6,73.97,55,41,4,1,123.97,0.00,0.00,0.67,1,0.00,3,872.06,0,3,2,java.lang.Object,0.00,10,0,11,0,10,3,0,6,197,2
"org.apache.http.cookie.MalformedCookieException",3,1.00,1.00,8,0.05,538.90,4,1,1,3,26,99.73,23,12,26,2,142.02,0.00,0.50,0.00,0,3.00,1,153.79,0,0,0,org.apache.http.ProtocolException,0.00,0,1,3,0,0,3,0,4,46,1
"org.apache.http.cookie.SM",0,0.00,0.00,3,0.03,332.42,2,2,0,0,4,171.00,7,4,4,1,171.00,0.00,0.00,0.00,0,0.00,0,81.41,0,0,0,,0.00,0,0,0,0,0,0,0,1,22,1
"org.apache.http.cookie.TestAllCookie",3,0.00,1.00,12,0.12,2866.67,3,0,3,10,5,125.07,0,16,2,2,125.07,0.00,0.50,0.00,0,3.00,1,349.20,0,1,3,junit.framework.TestCase,0.00,7,1,3,0,7,2,0,0,90,1
"org.apache.http.cookie.TestCookieOrigin",8,0.00,1.50,29,0.28,3934.85,8,0,3,16,3,181.91,9,46,2,2,131.91,0.00,0.50,0.00,0,8.00,2,839.18,0,1,1,junit.framework.TestCase,0.00,8,1,12,0,8,7,0,7,205,1
"org.apache.http.cookie.TestCookiePathComparator",8,0.00,1.00,53,0.62,15666.30,8,0,4,14,4,116.05,5,62,2,2,116.05,0.00,0.50,0.00,0,8.00,1,1861.55,0,1,2,junit.framework.TestCase,0.00,6,1,8,0,6,7,0,3,414,1
"org.apache.http.cookie.TestCookiePolicy",5,0.08,2.20,64,0.73,25368.64,8,3,9,21,6,141.27,11,90,2,2,101.38,0.00,0.50,0.40,0,7.00,5,2190.40,0,1,4,junit.framework.TestCase,0.00,16,1,11,0,16,4,0,9,460,1
"org.apache.http.impl.cookie.AbstractCookieAttributeHandler",2,0.00,1.00,4,0.04,321.06,2,0,4,2,9,192.40,2,8,5,1,142.40,0.00,0.00,0.00,0,2.00,1,118.06,0,0,4,java.lang.Object,0.00,0,0,2,5,0,2,1,2,34,2
"org.apache.http.impl.cookie.AbstractCookieSpec",5,2.00,1.80,25,0.25,5545.16,7,2,7,14,5,88.59,34,37,3,1,120.81,0.00,0.00,0.00,1,5.00,4,749.73,0,3,2,java.lang.Object,0.00,9,0,9,5,9,2,1,6,175,2
"org.apache.http.impl.cookie.BasicCommentHandler",2,0.00,1.50,7,0.06,1034.91,2,0,2,4,7,131.74,0,12,4,2,131.74,0.00,0.50,0.00,0,2.00,2,171.85,0,0,3,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,2,1,3,0,2,2,0,0,44,1
