Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.cookie.Cookie",21,0.02,1.10,60,0.39,5716.15,31,10,1,25,28,90.58,207,85,28,1,140.58,0.00,0.00,0.09,0,311.00,2,1181.41,0,6,0,java.lang.Object,0.00,4,0,23,0,4,15,0,31,318,1
"org.apache.http.cookie.CookieAttributeHandler",3,0.00,1.00,4,0.03,138.66,3,0,0,3,14,113.76,35,7,11,1,157.89,0.00,0.00,0.00,0,3.00,1,100.44,0,0,3,,0.00,0,0,3,0,0,3,0,4,33,1
"org.apache.http.cookie.CookieOrigin",5,4.00,2.00,30,0.29,11126.84,9,4,0,9,24,165.45,8,44,24,1,115.45,0.00,0.00,0.00,0,5.00,6,863.22,0,2,0,java.lang.Object,0.00,4,0,10,0,4,3,0,1,188,2
"org.apache.http.cookie.CookiePathComparator",2,0.00,3.50,21,0.20,7055.58,2,0,1,6,3,63.18,15,27,2,1,105.47,0.00,0.00,0.00,1,2.00,4,589.16,0,1,1,java.lang.Object,0.00,4,0,7,0,4,1,1,2,130,1
"org.apache.http.cookie.CookieSpec",4,0.00,1.00,5,0.04,198.62,4,0,1,4,13,128.26,52,6,10,1,157.64,0.00,0.00,0.00,0,4.00,1,127.73,0,1,3,,0.00,0,0,4,0,0,3,0,5,42,1
"org.apache.http.cookie.CookieSpecFactory",1,0.00,1.00,2,0.01,30.51,1,0,1,1,5,115.86,6,3,4,1,148.08,0.00,0.00,0.00,0,1.00,1,25.51,0,1,1,,0.00,0,0,1,0,0,0,0,1,11,1
"org.apache.http.cookie.CookieSpecRegistry",7,0.25,1.86,32,0.35,9314.03,9,2,6,19,4,73.80,69,49,1,1,123.80,0.00,0.00,0.29,1,3.00,3,1063.66,0,4,3,java.lang.Object,0.00,12,0,13,0,12,3,0,7,240,2
"org.apache.http.cookie.MalformedCookieException",3,1.00,1.00,8,0.05,538.90,4,1,1,3,25,99.73,23,12,25,2,142.02,0.00,0.50,0.00,0,3.00,1,153.79,0,0,0,org.apache.http.ProtocolException,0.00,0,1,3,0,0,3,0,4,46,1
"org.apache.http.cookie.TestAllCookie",3,0.00,1.00,12,0.12,2866.67,3,0,3,10,5,125.07,0,16,2,2,125.07,0.00,0.50,0.00,0,3.00,1,349.20,0,1,3,junit.framework.TestCase,0.00,7,1,3,0,7,2,0,0,90,1
"org.apache.http.cookie.TestCookieOrigin",8,0.00,1.50,29,0.28,3934.85,8,0,3,16,3,181.91,9,46,2,2,131.91,0.00,0.50,0.00,0,8.00,2,839.18,0,1,1,junit.framework.TestCase,0.00,8,1,12,0,8,7,0,7,205,1
"org.apache.http.cookie.TestCookiePathComparator",8,0.00,1.00,53,0.62,15666.30,8,0,4,14,4,116.05,5,62,2,2,116.05,0.00,0.50,0.00,0,8.00,1,1861.55,0,1,2,junit.framework.TestCase,0.00,6,1,8,0,6,7,0,3,414,1
"org.apache.http.cookie.TestCookiePolicy",5,0.00,2.40,67,0.84,32700.52,5,0,11,24,9,139.08,12,95,2,2,99.20,0.00,0.50,0.00,0,5.00,6,2510.37,0,1,7,junit.framework.TestCase,0.00,19,1,12,0,19,4,0,10,509,1
"org.apache.http.impl.cookie.AbstractCookieAttributeHandler",2,0.00,1.00,4,0.04,321.06,2,0,4,2,9,192.40,2,8,5,1,142.40,0.00,0.00,0.00,0,2.00,1,118.06,0,0,4,java.lang.Object,0.00,0,0,2,5,0,2,1,2,34,2
"org.apache.http.impl.cookie.AbstractCookieSpec",5,2.00,1.80,25,0.25,5545.16,7,2,7,14,5,88.59,34,37,3,1,120.81,0.00,0.00,0.00,1,5.00,4,749.73,0,3,2,java.lang.Object,0.00,9,0,9,5,9,2,1,6,175,2
"org.apache.http.impl.cookie.BasicCommentHandler",2,0.00,1.50,7,0.06,1034.91,2,0,2,4,7,131.74,0,12,4,2,131.74,0.00,0.50,0.00,0,2.00,2,171.85,0,0,3,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,2,1,3,0,2,2,0,0,44,1
"org.apache.http.impl.cookie.BasicDomainHandler",4,0.00,5.00,44,0.58,24338.67,4,0,4,18,7,141.87,8,71,3,1,101.98,0.00,0.00,0.00,0,4.00,9,1729.53,0,0,4,java.lang.Object,0.00,14,0,20,1,14,4,1,8,334,1
"org.apache.http.impl.cookie.BasicExpiresHandler",3,1.00,2.67,18,0.21,5357.94,4,1,5,8,8,116.14,1,30,4,2,116.14,0.00,0.50,0.00,0,3.00,4,618.72,0,0,4,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,5,1,8,0,5,3,0,1,134,1
"org.apache.http.impl.cookie.BasicMaxAgeHandler",2,0.00,2.50,13,0.15,4859.92,2,0,3,8,7,115.10,0,22,4,2,115.10,0.00,0.50,0.00,0,2.00,4,451.15,0,0,3,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,6,1,5,0,6,2,0,0,92,1
"org.apache.http.impl.cookie.BasicPathHandler",4,0.00,3.25,29,0.41,20468.51,4,0,4,17,8,110.00,2,47,4,1,110.00,0.00,0.00,0.00,0,4.00,7,1231.21,0,0,4,java.lang.Object,0.00,13,0,13,0,13,4,1,2,248,1
"org.apache.http.impl.cookie.BasicSecureHandler",3,0.00,2.33,13,0.13,3261.09,3,0,3,7,8,124.44,0,21,4,2,124.44,0.00,0.50,0.00,0,3.00,4,396.74,0,0,4,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,4,1,7,0,4,3,0,0,92,1
"org.apache.http.impl.cookie.BrowserCompatSpec",4,0.50,4.00,59,0.78,39405.45,6,2,10,27,13,117.10,13,90,3,3,96.48,0.00,0.67,0.12,1,6.00,7,2352.51,1,2,10,org.apache.http.impl.cookie.CookieSpecBase,0.00,23,2,16,0,23,2,0,5,433,1
"org.apache.http.impl.cookie.BrowserCompatSpecFactory",1,0.00,2.00,6,0.06,1283.23,1,0,4,3,5,85.12,6,10,1,1,117.34,0.00,0.00,0.00,0,1.00,2,176.05,0,1,4,java.lang.Object,0.00,2,0,2,0,2,0,1,1,42,1
"org.apache.http.impl.cookie.CookieSpecBase",5,0.00,3.60,61,0.71,38439.19,5,0,7,25,8,149.85,9,70,3,2,99.85,3.00,0.20,0.00,2,5.00,5,2133.92,1,3,5,org.apache.http.impl.cookie.AbstractCookieSpec,0.00,20,1,18,3,20,2,0,3,404,2
"org.apache.http.impl.cookie.NetscapeDomainHandler",4,0.00,3.00,30,0.40,12934.01,4,0,4,13,6,161.59,7,55,2,2,111.59,0.00,0.50,0.00,1,4.00,5,1208.65,1,0,4,org.apache.http.impl.cookie.BasicDomainHandler,0.00,9,1,12,0,9,4,0,2,246,1
"org.apache.http.impl.cookie.NetscapeDraftSpec",3,0.00,3.33,37,0.43,20045.19,3,0,8,17,12,80.20,42,46,2,3,100.35,0.00,0.67,0.00,1,3.00,6,1285.76,1,2,10,org.apache.http.impl.cookie.CookieSpecBase,0.00,14,2,10,0,14,1,0,3,254,1
"org.apache.http.impl.cookie.NetscapeDraftSpecFactory",1,0.00,1.00,3,0.02,194.14,1,0,3,2,4,102.96,6,5,1,1,135.18,0.00,0.00,0.00,0,1.00,1,62.11,0,1,3,java.lang.Object,0.00,1,0,1,0,1,0,1,1,19,1
