Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.client.fluent.header.CacheControl",4,0.10,1.00,19,0.22,3329.68,14,10,0,4,1,175.54,6,24,1,1,125.54,0.00,0.00,0.02,0,6.00,1,671.28,0,4,0,java.lang.Object,0.00,0,0,4,0,0,0,0,2,152,1
"org.apache.http.client.fluent.header.ContentType",0,0.00,0.00,9,0.12,1715.65,8,8,0,0,2,171.00,0,10,2,1,171.00,0.00,0.00,0.00,0,0.00,0,352.93,0,0,0,java.lang.Object,0.00,0,0,0,0,0,0,0,0,76,1
"org.apache.http.client.fluent.header.DateUtils",2,0.33,1.00,11,0.12,2161.68,5,3,4,7,2,121.04,0,14,2,1,121.04,0.00,0.00,0.50,1,2.00,1,351.62,0,2,0,java.lang.Object,0.00,5,0,2,0,5,0,0,0,85,1
"org.apache.http.client.fluent.header.HttpHeader",0,0.00,0.00,7,0.09,1570.58,6,6,0,0,4,171.00,0,8,2,1,171.00,0.00,0.00,0.00,0,0.00,0,280.46,0,0,2,java.lang.Object,0.00,0,0,0,0,0,0,0,0,62,1
"org.apache.http.client.params.ClientPNames",0,0.00,0.00,13,0.20,3676.37,12,12,0,0,6,171.00,82,16,6,1,171.00,0.00,0.00,0.00,0,0.00,0,605.26,0,0,0,,0.00,0,0,0,0,0,0,0,13,118,1
"org.apache.http.client.params.Immutable",9,0.00,2.11,41,0.46,10990.63,9,0,3,17,1,163.95,19,66,0,1,124.06,0.00,0.00,0.00,0,9.00,3,1383.28,0,1,1,java.lang.Object,0.00,8,0,19,0,8,8,0,3,306,1
"org.apache.http.client.params.NotThreadSafe",13,0.00,1.00,27,0.29,3142.72,13,0,7,17,2,141.00,10,43,0,2,141.00,0.00,0.50,0.00,0,13.00,1,880.37,0,0,2,org.apache.http.params.HttpAbstractParamBean,0.00,4,1,13,0,4,13,0,2,232,1
"org.apache.http.client.params.SuppressWarnings",0,0.00,0.00,1,0.02,208.46,0,0,7,0,3,171.00,14,6,0,9,171.00,0.00,0.89,0.00,0,0.00,0,69.49,0,0,3,,0.00,0,8,0,0,0,0,0,2,17,1
"org.apache.http.impl.client.cache.AbstractProtocolTest",8,0.20,1.00,56,0.85,28209.63,20,12,12,35,11,111.54,0,69,4,1,111.54,0.00,0.00,0.26,0,0.00,1,2546.81,0,2,7,java.lang.Object,0.00,27,0,8,5,27,6,0,0,513,2
"org.apache.http.impl.client.cache.AsynchronousValidationRequest",3,0.38,1.67,25,0.27,4078.87,11,8,8,8,3,94.65,15,37,3,1,112.52,0.00,0.00,0.38,0,1.00,3,816.11,0,1,1,java.lang.Object,0.00,5,0,5,0,5,2,1,2,176,0
"org.apache.http.impl.client.cache.AsynchronousValidator",6,0.08,1.33,27,0.36,7573.00,11,5,14,23,4,91.83,39,47,3,1,124.06,0.00,0.00,0.27,0,6.00,3,1084.47,0,2,2,java.lang.Object,0.00,17,0,8,0,17,4,0,6,234,0
"org.apache.http.impl.client.cache.BasicHttpCache",20,0.03,1.80,125,1.95,50725.89,28,8,21,83,13,115.03,0,206,5,1,115.03,0.00,0.00,0.15,7,148.00,4,5849.29,0,7,8,java.lang.Object,0.00,63,0,36,0,63,13,1,0,1172,0
"org.apache.http.impl.client.cache.BasicHttpCache$HttpCacheUpdateCallback",1,0.00,1.00,3,0.04,586.89,1,0,21,4,0,131.40,0,7,0,1,131.40,0.00,0.00,0.00,0,0.00,1,131.19,0,1,0,java.lang.Object,0.00,3,0,1,0,3,0,0,0,33,0
"org.apache.http.impl.client.cache.BasicHttpCache$HttpCacheUpdateCallback_0",1,0.00,1.00,3,0.04,425.96,1,0,21,4,0,132.50,0,6,0,1,132.50,0.00,0.00,0.00,0,1.00,1,108.08,0,1,0,java.lang.Object,0.00,3,0,1,0,3,0,0,0,28,0
"org.apache.http.impl.client.cache.CacheConfig",24,0.02,1.08,73,0.64,11547.12,45,21,0,24,16,83.96,205,101,16,1,132.06,0.00,0.00,0.02,0,284.00,2,1929.64,0,0,0,java.lang.Object,0.00,0,0,26,0,0,24,0,35,459,1
"org.apache.http.impl.client.cache.CacheMap",2,2.00,1.00,8,0.10,1413.57,4,2,3,3,1,126.10,0,12,1,2,126.10,0.00,0.50,0.00,0,2.00,1,285.09,0,0,0,java.util.LinkedHashMap,0.00,1,1,2,0,1,2,0,0,68,1
"org.apache.http.impl.client.cache.Counter",2,0.00,1.00,6,0.02,187.50,3,1,0,2,1,137.67,0,9,1,1,137.67,0.00,0.00,1.00,0,0.00,1,75.00,0,0,0,java.lang.Object,0.00,0,0,2,0,0,2,0,0,25,1
"org.apache.http.impl.client.cache.DoNotTestProtocolRequirements",6,0.28,1.83,62,0.95,26456.97,16,10,23,40,4,86.99,32,84,0,1,104.86,0.00,0.00,0.33,2,2.00,6,2842.18,0,2,4,java.lang.Object,0.00,34,0,11,0,34,4,0,13,512,1
"org.apache.http.impl.client.cache.HttpCache",9,0.00,1.00,10,0.15,800.30,9,0,7,9,6,107.55,78,26,5,1,155.65,0.00,0.00,0.00,0,9.00,1,460.64,0,5,1,,0.00,0,0,9,0,0,4,0,10,126,0
"org.apache.http.impl.client.cache.HttpTestUtils",28,4.00,1.79,127,1.88,52675.97,32,4,22,67,18,162.51,68,196,18,1,122.62,0.00,0.00,0.00,9,28.00,5,5635.23,0,16,0,java.lang.Object,0.00,39,0,50,0,39,12,0,16,1204,1
"org.apache.http.impl.client.cache.Immutable",8,1.00,2.50,49,0.72,20819.45,9,1,17,37,2,154.75,20,84,0,1,114.87,0.00,0.00,0.12,4,14.00,5,2169.46,0,2,2,java.lang.Object,0.00,29,0,20,0,29,6,0,3,446,0
"org.apache.http.impl.client.cache.NotThreadSafe",8,0.14,1.62,52,0.47,8290.39,16,8,10,28,2,118.12,7,70,0,1,118.12,0.00,0.00,0.25,3,10.00,2,1413.38,0,2,2,java.lang.Object,0.00,20,0,13,0,20,6,0,2,311,0
"org.apache.http.impl.client.cache.NotThreadSafe$ResourceStream",2,0.00,1.00,7,0.04,642.09,2,0,8,3,0,133.46,0,13,0,2,133.46,0.00,0.50,0.00,0,2.00,1,132.43,1,0,0,java.io.FilterInputStream,0.00,1,1,2,0,1,2,0,0,38,0
"org.apache.http.impl.client.cache.OKStatus",1,1.00,1.00,4,0.04,438.02,2,1,3,1,0,127.74,0,6,0,2,127.74,0.00,0.50,0.00,0,1.00,1,112.70,0,0,0,org.apache.http.message.BasicStatusLine,0.00,0,1,1,0,0,1,0,0,30,1
"org.apache.http.impl.client.cache.RequestEquivalent",3,0.50,1.33,12,0.10,1702.10,4,1,2,5,3,126.79,0,17,2,1,126.79,0.00,0.00,0.67,0,1.00,2,307.22,0,0,1,java.lang.Object,0.00,2,0,4,0,2,3,1,0,80,1
"org.apache.http.impl.client.cache.RequestProtocolError",0,0.00,0.00,2,0.01,24.00,0,0,0,0,2,171.00,3,7,1,1,171.00,0.00,0.00,0.00,0,0.00,0,24.00,0,0,1,java.lang.Object,0.00,0,0,0,0,0,0,1,1,8,0
"org.apache.http.impl.client.cache.Serializer",2,0.00,1.00,11,0.13,3056.56,2,0,4,9,0,119.85,0,15,0,1,119.85,0.00,0.00,0.00,0,2.00,1,379.32,0,0,0,java.lang.Object,0.00,7,0,2,0,7,2,0,0,87,1
