Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.entity.mime.content.ContentBody",1,0.00,1.00,2,0.01,52.92,1,0,2,1,6,146.20,0,3,6,3,146.20,0.00,0.67,0.00,0,1.00,1,30.46,0,1,0,,0.00,0,2,1,0,0,0,0,0,12,1
"org.apache.http.entity.mime.content.FileBody",12,1.00,1.25,38,0.33,8065.26,13,1,10,19,4,130.89,0,56,2,2,130.89,0.00,0.50,0.00,0,12.00,3,982.31,0,9,2,org.apache.james.mime4j.message.AbstractBody,0.00,7,1,15,0,7,3,2,0,232,1
"org.apache.http.entity.mime.content.InputStreamBody",11,2.00,1.27,37,0.31,8135.04,13,2,8,15,4,130.55,0,54,2,2,130.55,0.00,0.50,0.00,0,11.00,3,936.78,0,8,2,org.apache.james.mime4j.message.AbstractBody,0.00,4,1,14,0,4,3,2,0,221,1
"org.apache.http.entity.mime.content.StringBody",12,2.00,1.33,42,0.43,10225.72,14,2,13,22,5,130.06,0,61,3,2,130.06,0.00,0.50,0.00,0,12.00,3,1275.40,0,8,2,org.apache.james.mime4j.message.AbstractBody,0.00,10,1,16,0,10,4,2,0,294,1
"org.apache.http.cookie.ClientCookie",2,10.00,1.00,13,0.17,2680.92,12,10,0,2,13,75.06,15,14,13,2,117.35,0.00,0.50,0.00,0,2.00,1,505.04,0,1,0,,0.00,0,1,2,0,0,1,0,3,108,1
"org.apache.http.cookie.Cookie",12,0.00,1.00,13,0.04,141.89,12,0,1,12,38,130.33,76,14,38,1,162.55,0.00,0.00,0.00,0,12.00,1,121.26,0,7,0,,0.00,0,0,12,0,0,5,0,13,57,1
"org.apache.http.cookie.CookieAttributeHandler",3,0.00,1.00,4,0.03,138.66,3,0,0,3,21,113.76,35,7,17,1,157.89,0.00,0.00,0.00,0,3.00,1,100.44,0,0,4,,0.00,0,0,3,0,0,3,0,4,33,1
"org.apache.http.cookie.CookieIdentityComparator",1,1.00,4.00,13,0.15,4613.27,2,1,2,5,2,56.15,11,18,1,1,100.28,0.00,0.00,0.00,0,1.00,4,450.56,0,0,1,java.lang.Object,0.00,4,0,4,0,4,1,2,2,98,1
"org.apache.http.cookie.CookieOrigin",6,4.00,2.00,41,0.42,15799.70,10,4,1,14,34,164.88,8,58,34,1,114.88,0.00,0.00,0.00,0,6.00,6,1260.12,0,3,0,java.lang.Object,0.00,8,0,12,0,8,3,0,1,271,2
"org.apache.http.cookie.CookiePathComparator",2,1.00,3.50,20,0.19,6129.32,3,1,2,6,3,63.66,15,26,2,1,105.96,0.00,0.00,0.00,1,2.00,4,578.05,0,1,1,java.lang.Object,0.00,4,0,7,0,4,1,2,2,129,1
