Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.entity.mime.content.AbstractContentBody",5,3.00,1.40,24,0.22,7589.31,8,3,3,8,4,123.41,0,32,3,2,123.41,3.00,0.20,0.00,0,5.00,3,664.46,0,4,1,org.apache.james.mime4j.message.AbstractBody,0.00,3,1,7,3,3,1,1,0,152,2
"org.apache.http.entity.mime.content.ContentBody",1,0.00,1.00,2,0.01,52.92,1,0,2,1,4,146.20,0,3,4,3,146.20,0.00,0.67,0.00,0,1.00,1,30.46,0,1,0,,0.00,0,2,1,0,0,0,0,0,12,1
"org.apache.http.entity.mime.content.FileBody",9,1.00,1.33,32,0.30,7933.27,10,1,7,16,4,129.94,0,47,2,3,129.94,0.00,0.67,0.00,0,9.00,3,914.67,0,5,2,org.apache.http.entity.mime.content.AbstractContentBody,0.00,7,2,12,0,7,4,1,0,209,1
"org.apache.http.entity.mime.content.InputStreamBody",8,2.00,1.38,31,0.29,8189.64,10,2,5,12,5,129.42,0,45,3,3,129.42,0.00,0.67,0.00,0,8.00,3,884.79,0,4,2,org.apache.http.entity.mime.content.AbstractContentBody,0.00,4,2,11,0,4,4,1,0,202,1
"org.apache.http.entity.mime.content.StringBody",10,2.00,1.40,38,0.44,11006.09,12,2,12,20,6,129.17,0,59,4,3,129.17,0.00,0.67,0.00,0,10.00,3,1308.48,0,5,2,org.apache.http.entity.mime.content.AbstractContentBody,0.20,10,2,14,0,10,5,1,0,294,1
"org.apache.http.cookie.ClientCookie",2,10.00,1.00,13,0.17,2680.92,12,10,0,2,13,75.06,15,14,13,2,117.35,0.00,0.50,0.00,0,2.00,1,505.04,0,1,0,,0.00,0,1,2,0,0,1,0,3,108,1
"org.apache.http.cookie.Cookie",12,0.00,1.00,13,0.04,141.89,12,0,1,12,39,130.33,76,14,39,1,162.55,0.00,0.00,0.00,0,12.00,1,121.26,0,7,0,,0.00,0,0,12,0,0,5,0,13,57,1
"org.apache.http.cookie.CookieAttributeHandler",3,0.00,1.00,4,0.03,138.66,3,0,0,3,22,113.76,35,7,18,1,157.89,0.00,0.00,0.00,0,3.00,1,100.44,0,0,4,,0.00,0,0,3,0,0,3,0,4,33,1
"org.apache.http.cookie.CookieIdentityComparator",1,1.00,6.00,17,0.22,9862.47,2,1,2,6,3,49.11,11,22,2,1,93.24,0.00,0.00,0.00,0,1.00,6,659.33,0,0,1,java.lang.Object,0.00,5,0,6,0,5,1,2,2,134,1
"org.apache.http.cookie.CookieOrigin",6,4.00,2.00,41,0.42,15799.70,10,4,1,14,36,164.88,8,58,36,1,114.88,0.00,0.00,0.00,0,6.00,6,1260.12,0,3,0,java.lang.Object,0.00,8,0,12,0,8,3,0,1,271,2
"org.apache.http.cookie.CookiePathComparator",2,1.00,3.50,20,0.19,6129.32,3,1,2,6,3,63.66,15,26,2,1,105.96,0.00,0.00,0.00,1,2.00,4,578.05,0,1,1,java.lang.Object,0.00,4,0,7,0,4,1,2,2,129,1
"org.apache.http.cookie.CookieSpec",6,0.00,1.00,7,0.06,316.39,6,0,2,6,19,108.96,63,8,16,1,157.44,0.00,0.00,0.00,0,6.00,1,169.36,0,3,3,,0.00,0,0,6,0,0,3,0,7,56,1
"org.apache.http.cookie.CookieSpecFactory",1,0.00,1.00,2,0.01,30.51,1,0,1,1,7,115.86,6,3,6,1,148.08,0.00,0.00,0.00,0,1.00,1,25.51,0,1,1,,0.00,0,0,1,0,0,0,0,1,11,1
"org.apache.http.cookie.CookieSpecRegistry",7,0.33,1.86,32,0.38,9240.26,8,1,6,19,7,75.72,61,48,5,1,123.83,0.00,0.00,0.71,1,0.00,3,1133.41,0,3,2,java.lang.Object,0.00,12,0,13,0,12,4,0,7,250,2
"org.apache.http.cookie.MalformedCookieException",3,1.00,1.00,8,0.05,538.90,4,1,1,3,36,99.73,23,12,36,2,142.02,0.00,0.50,0.00,0,3.00,1,153.79,0,0,0,org.apache.http.ProtocolException,0.00,0,1,3,0,0,3,0,4,46,1
"org.apache.http.cookie.SM",0,0.00,0.00,5,0.05,743.92,4,4,0,0,8,171.00,7,6,8,1,171.00,0.00,0.00,0.00,0,0.00,0,163.50,0,0,0,,0.00,0,0,0,0,0,0,0,1,40,1
"org.apache.http.cookie.SetCookie",7,0.00,1.00,8,0.04,144.76,7,0,1,7,18,112.54,62,9,18,2,160.64,0.00,0.50,0.00,0,7.00,1,126.66,0,0,0,,0.00,0,1,7,0,0,7,0,7,49,1
"org.apache.http.cookie.SetCookie2",3,0.00,1.00,4,0.02,96.69,3,0,0,3,9,116.83,23,5,9,2,159.12,0.00,0.50,0.00,0,3.00,1,68.77,0,0,0,,0.00,0,1,3,0,0,3,0,4,26,1
"org.apache.http.cookie.TestCookieOrigin",8,0.00,1.50,29,0.28,3934.85,8,0,3,16,2,181.91,9,46,1,2,131.91,0.00,0.50,0.00,0,8.00,2,839.18,0,1,1,junit.framework.TestCase,0.00,8,1,12,0,8,7,0,7,205,1
"org.apache.http.cookie.TestCookiePathComparator",8,0.00,1.00,53,0.67,18911.33,8,0,5,14,4,115.41,5,62,1,2,115.41,0.00,0.50,0.00,0,8.00,1,1997.84,0,1,3,junit.framework.TestCase,0.00,6,1,8,0,6,7,0,3,432,1
"org.apache.http.cookie.TestCookiePolicy",5,0.08,2.20,64,0.75,29094.66,8,3,10,21,5,140.80,11,90,1,2,100.92,0.00,0.50,0.40,0,7.00,5,2252.53,0,1,4,junit.framework.TestCase,0.00,16,1,11,0,16,4,0,9,466,1
"org.apache.http.impl.cookie.AbstractCookieAttributeHandler",2,0.00,1.00,4,0.04,321.06,2,0,4,2,9,192.40,2,8,5,1,142.40,0.00,0.00,0.00,0,2.00,1,118.06,0,0,4,java.lang.Object,0.00,0,0,2,5,0,2,1,2,34,2
"org.apache.http.impl.cookie.AbstractCookieSpec",5,1.00,1.60,21,0.21,4252.71,6,1,5,11,5,93.14,31,32,3,1,125.36,0.00,0.00,0.00,1,5.00,3,637.28,0,3,2,java.lang.Object,0.00,6,0,8,6,6,2,1,5,150,2
"org.apache.http.impl.cookie.BasicClientCookie",25,0.05,1.12,91,0.80,22239.40,34,9,6,35,16,97.73,168,123,14,1,129.95,0.00,0.00,0.06,0,303.00,2,2411.10,1,10,2,java.lang.Object,0.00,10,0,28,1,10,15,3,31,576,1
"org.apache.http.impl.cookie.BasicClientCookie2",9,3.00,1.00,24,0.23,4034.33,12,3,2,9,6,188.89,13,39,4,2,138.89,0.00,0.50,0.00,1,9.00,1,700.14,3,2,2,org.apache.http.impl.cookie.BasicClientCookie,0.24,0,1,9,0,0,7,1,2,183,1
"org.apache.http.impl.cookie.BasicCommentHandler",2,0.00,1.50,7,0.06,1034.91,2,0,2,4,7,131.74,0,12,4,2,131.74,0.00,0.50,0.00,0,2.00,2,171.85,0,0,3,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,2,1,3,0,2,2,0,0,44,1
"org.apache.http.impl.cookie.BasicDomainHandler",4,0.00,5.00,43,0.56,22856.61,4,0,5,17,8,143.63,8,70,3,1,103.74,0.00,0.00,0.00,0,4.00,9,1681.99,0,0,5,java.lang.Object,0.00,13,0,20,1,13,4,1,8,327,1
"org.apache.http.impl.cookie.BasicExpiresHandler",2,1.00,3.00,14,0.16,4394.70,3,1,2,6,9,112.91,1,24,4,2,112.91,0.00,0.50,0.00,0,2.00,4,484.94,0,0,5,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,4,1,6,0,4,2,0,1,104,1
"org.apache.http.impl.cookie.BasicMaxAgeHandler",2,0.00,3.00,15,0.18,6546.40,2,0,3,8,7,111.54,0,26,4,2,111.54,0.00,0.50,0.00,0,2.00,5,535.09,0,0,3,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,6,1,6,0,6,2,0,0,106,1
"org.apache.http.impl.cookie.BasicPathHandler",4,0.00,3.25,28,0.40,20180.29,4,0,5,16,9,110.05,2,46,4,1,110.05,0.00,0.00,0.00,0,4.00,7,1201.70,0,0,5,java.lang.Object,0.00,12,0,13,0,12,4,1,2,243,1
"org.apache.http.impl.cookie.BasicSecureHandler",3,0.00,2.00,13,0.14,3708.94,3,0,4,7,9,124.03,0,22,4,2,124.03,0.00,0.50,0.00,0,3.00,3,408.86,0,0,5,org.apache.http.impl.cookie.AbstractCookieAttributeHandler,0.00,4,1,6,0,4,3,0,0,94,1
"org.apache.http.impl.cookie.BestMatchSpec",12,0.12,3.25,101,1.07,45838.22,18,6,9,29,12,158.83,12,142,2,1,108.83,0.00,0.00,0.06,4,52.00,9,3207.18,0,7,10,java.lang.Object,0.00,17,0,39,0,17,5,1,5,657,1
"org.apache.http.impl.cookie.BestMatchSpecFactory",1,0.00,2.00,6,0.07,1728.53,1,0,4,4,5,84.10,6,11,1,1,116.32,0.00,0.00,0.00,0,1.00,2,219.84,0,1,4,java.lang.Object,0.00,3,0,2,0,3,0,1,1,50,1
"org.apache.http.impl.cookie.BrowserCompatSpec",6,0.50,3.50,82,1.21,73514.16,8,2,14,42,18,136.85,13,122,3,3,96.97,0.00,0.67,0.08,1,10.00,10,3618.02,1,3,15,org.apache.http.impl.cookie.CookieSpecBase,0.00,36,2,21,0,36,3,0,5,622,1
"org.apache.http.impl.cookie.BrowserCompatSpecFactory",1,0.00,2.00,6,0.06,1283.23,1,0,4,3,6,85.12,6,10,2,1,117.34,0.00,0.00,0.00,0,1.00,2,176.05,0,1,4,java.lang.Object,0.00,2,0,2,0,2,0,1,1,42,1
"org.apache.http.impl.cookie.CookieSpecBase",5,0.00,3.60,53,0.67,36695.24,5,0,9,27,9,152.96,9,68,3,2,102.96,4.00,0.17,0.00,2,5.00,5,2004.05,1,3,6,org.apache.http.impl.cookie.AbstractCookieSpec,0.00,22,1,18,4,22,2,0,3,377,2
"org.apache.http.impl.cookie.DateParseException",2,1.00,1.00,6,0.04,368.19,3,1,0,2,4,103.14,13,9,4,2,135.37,0.00,0.50,0.00,0,2.00,1,105.21,0,0,0,java.lang.Exception,0.00,0,1,2,0,0,2,0,3,32,1
