Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.cookie.impl.AbstractCookieAttributeHandler",2,0.00,1.00,4,0.04,321.06,2,0,4,2,9,192.40,2,8,5,1,142.40,0.00,0.00,0.00,0,2.00,1,118.06,0,0,4,java.lang.Object,0.00,0,0,2,5,0,2,1,2,34,2
"org.apache.http.cookie.impl.AbstractCookieSpec",5,2.00,1.80,25,0.25,5545.16,7,2,7,14,5,88.59,34,37,3,1,120.81,0.00,0.00,0.00,1,5.00,4,749.73,0,3,2,java.lang.Object,0.00,9,0,9,5,9,2,1,6,175,2
"org.apache.http.cookie.impl.BasicCommentHandler",2,0.00,1.50,7,0.06,1034.91,2,0,2,4,7,131.74,0,12,4,2,131.74,0.00,0.50,0.00,0,2.00,2,171.85,0,0,3,org.apache.http.cookie.impl.AbstractCookieAttributeHandler,0.00,2,1,3,0,2,2,0,0,44,1
"org.apache.http.cookie.impl.BasicDomainHandler",4,0.00,5.00,44,0.58,24338.67,4,0,4,18,7,141.87,8,71,3,1,101.98,0.00,0.00,0.00,0,4.00,9,1729.53,0,0,4,java.lang.Object,0.00,14,0,20,1,14,4,1,8,334,1
"org.apache.http.cookie.impl.BasicExpiresHandler",3,1.00,2.67,18,0.21,5357.94,4,1,5,8,8,116.14,1,30,4,2,116.14,0.00,0.50,0.00,0,3.00,4,618.72,0,0,4,org.apache.http.cookie.impl.AbstractCookieAttributeHandler,0.00,5,1,8,0,5,3,0,1,134,1
"org.apache.http.cookie.impl.BasicMaxAgeHandler",2,0.00,2.50,13,0.15,4859.92,2,0,3,8,7,115.10,0,22,4,2,115.10,0.00,0.50,0.00,0,2.00,4,451.15,0,0,3,org.apache.http.cookie.impl.AbstractCookieAttributeHandler,0.00,6,1,5,0,6,2,0,0,92,1
"org.apache.http.cookie.impl.BasicPathHandler",4,0.00,3.25,29,0.41,20468.51,4,0,4,17,8,110.00,2,47,4,1,110.00,0.00,0.00,0.00,0,4.00,7,1231.21,0,0,4,java.lang.Object,0.00,13,0,13,0,13,4,1,2,248,1
"org.apache.http.cookie.impl.BasicSecureHandler",3,0.00,2.33,13,0.13,3261.09,3,0,3,7,8,124.44,0,21,4,2,124.44,0.00,0.50,0.00,0,3.00,4,396.74,0,0,4,org.apache.http.cookie.impl.AbstractCookieAttributeHandler,0.00,4,1,7,0,4,3,0,0,92,1
"org.apache.http.cookie.impl.BrowserCompatSpec",4,0.50,4.00,59,0.78,39405.45,6,2,10,27,13,117.10,13,90,3,3,96.48,0.00,0.67,0.12,1,6.00,7,2352.51,1,2,10,org.apache.http.cookie.impl.CookieSpecBase,0.00,23,2,16,0,23,2,0,5,433,1
"org.apache.http.cookie.impl.BrowserCompatSpecFactory",1,0.00,2.00,6,0.06,1283.23,1,0,4,3,5,85.12,6,10,1,1,117.34,0.00,0.00,0.00,0,1.00,2,176.05,0,1,4,java.lang.Object,0.00,2,0,2,0,2,0,1,1,42,1
"org.apache.http.cookie.impl.CookieSpecBase",5,0.00,3.60,61,0.71,38439.19,5,0,7,25,8,149.85,9,70,3,2,99.85,3.00,0.20,0.00,2,5.00,5,2133.92,1,3,5,org.apache.http.cookie.impl.AbstractCookieSpec,0.00,20,1,18,3,20,2,0,3,404,2
"org.apache.http.cookie.impl.NetscapeDomainHandler",4,0.00,3.00,30,0.40,12934.01,4,0,4,13,6,161.59,7,55,2,2,111.59,0.00,0.50,0.00,1,4.00,5,1208.65,1,0,4,org.apache.http.cookie.impl.BasicDomainHandler,0.00,9,1,12,0,9,4,0,2,246,1
"org.apache.http.cookie.impl.NetscapeDraftSpec",3,0.00,3.33,37,0.43,20045.19,3,0,8,17,12,80.20,44,46,2,3,100.35,0.00,0.67,0.00,1,3.00,6,1285.76,1,2,10,org.apache.http.cookie.impl.CookieSpecBase,0.00,14,2,10,0,14,1,0,3,254,1
"org.apache.http.cookie.impl.NetscapeDraftSpecFactory",1,0.00,1.00,3,0.02,194.14,1,0,3,2,4,102.96,6,5,1,1,135.18,0.00,0.00,0.00,0,1.00,1,62.11,0,1,3,java.lang.Object,0.00,1,0,1,0,1,0,1,1,19,1
"org.apache.http.cookie.impl.RFC2109DomainHandler",4,0.00,4.75,46,0.69,36151.16,4,0,4,19,6,100.64,3,79,2,1,100.64,0.00,0.00,0.00,0,4.00,10,2079.46,0,0,4,java.lang.Object,0.00,15,0,19,0,15,4,1,3,385,1
"org.apache.http.cookie.impl.RFC2109Spec",9,0.22,2.89,100,1.21,44406.55,13,4,10,35,14,123.44,34,126,2,3,102.83,0.00,0.67,0.06,5,23.00,4,3625.00,2,4,12,org.apache.http.cookie.impl.CookieSpecBase,0.00,26,2,26,0,26,5,0,6,725,1
"org.apache.http.cookie.impl.RFC2109SpecFactory",1,0.00,2.00,6,0.07,1728.53,1,0,4,4,5,84.10,6,11,1,1,116.32,0.00,0.00,0.00,0,1.00,2,219.84,0,1,4,java.lang.Object,0.00,3,0,2,0,3,0,1,1,50,1
"org.apache.http.cookie.impl.RFC2109VersionHandler",3,0.00,3.00,18,0.21,5755.35,3,0,3,11,6,115.87,0,32,2,2,115.87,0.00,0.50,0.00,0,3.00,5,643.29,0,0,4,org.apache.http.cookie.impl.AbstractCookieAttributeHandler,0.00,8,1,9,0,8,3,0,0,135,1
"org.apache.http.cookie.impl.TestAbstractCookieSpec",6,0.00,1.50,44,0.49,12913.21,6,0,10,22,7,113.14,4,57,2,2,113.14,0.00,0.50,0.00,0,6.00,3,1476.16,0,1,5,junit.framework.TestCase,0.00,16,1,9,0,16,5,0,4,317,1
"org.apache.http.cookie.impl.TestAbstractCookieSpec$DummyCookieAttribHandler",3,0.00,1.00,5,0.05,308.89,3,0,10,3,4,155.15,0,9,0,1,155.15,0.00,0.00,0.00,0,3.00,1,138.78,0,0,4,java.lang.Object,0.00,0,0,3,0,0,3,1,0,41,2
"org.apache.http.cookie.impl.TestAbstractCookieSpec$DummyCookieSpec",4,0.00,1.00,8,0.07,562.44,4,0,10,4,4,142.86,0,13,0,2,142.86,0.00,0.50,0.00,0,4.00,1,200.84,0,2,4,org.apache.http.cookie.impl.AbstractCookieSpec,0.00,0,1,4,0,0,2,0,0,57,2
"org.apache.http.cookie.impl.TestAllCookieImpl",3,0.00,1.00,16,0.17,5625.39,3,0,1,14,9,119.15,0,20,2,2,119.15,0.00,0.50,0.00,0,3.00,1,518.63,0,1,7,junit.framework.TestCase,0.00,11,1,3,0,11,2,0,0,126,1
"org.apache.http.cookie.impl.TestBasicCookieAttribHandlers",34,0.00,1.79,270,3.22,76538.59,34,0,11,71,12,112.94,28,359,2,2,112.94,0.00,0.50,0.00,0,34.00,6,9655.23,0,1,10,junit.framework.TestCase,0.00,37,1,61,0,37,33,0,28,2010,1
"org.apache.http.cookie.impl.TestBrowserCompatSpec",57,0.00,1.77,687,9.81,309567.47,57,0,11,89,7,151.20,76,737,2,2,101.20,0.00,0.50,0.00,1,57.00,9,29429.96,0,1,5,junit.framework.TestCase,0.00,32,1,101,0,32,56,0,39,5367,1
"org.apache.http.cookie.impl.TestCookieNetscapeDraft",13,0.00,2.00,136,1.86,50568.40,13,0,9,34,7,145.15,29,160,2,2,105.27,0.00,0.50,0.00,0,13.00,5,5575.25,0,1,5,junit.framework.TestCase,0.00,21,1,26,0,21,12,0,15,1048,1
"org.apache.http.cookie.impl.TestCookieRFC2109Spec",21,0.00,2.14,264,3.40,102672.79,21,0,10,45,7,141.40,57,321,2,2,101.52,0.00,0.50,0.00,0,21.00,6,10205.45,0,1,5,junit.framework.TestCase,0.00,24,1,45,0,24,20,0,26,1920,1
