Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.entity.mime.content.AbstractContentBody",4,3.00,1.50,22,0.20,7238.97,7,3,0,7,4,169.18,4,29,3,1,119.18,0.00,0.00,0.00,0,4.00,3,599.84,0,3,1,java.lang.Object,0.00,3,0,6,3,3,1,1,1,136,2
"org.apache.http.entity.mime.content.ContentBody",2,0.00,1.00,3,0.02,80.19,2,0,2,2,4,198.26,4,4,4,2,158.38,0.00,0.50,0.00,0,2.00,1,50.09,0,1,0,,0.00,0,1,2,0,0,1,0,1,19,1
"org.apache.http.entity.mime.content.ContentDescriptor",6,0.00,1.00,7,0.02,63.00,6,0,0,6,0,120.67,45,8,0,1,162.96,0.00,0.00,0.00,0,6.00,1,58.00,0,5,0,,0.00,0,0,6,0,0,1,0,7,29,1
"org.apache.http.entity.mime.content.FileBody",12,0.30,1.33,42,0.43,12070.00,15,3,6,19,4,179.49,13,69,2,2,129.49,0.00,0.50,0.06,1,32.00,3,1290.27,0,5,2,org.apache.http.entity.mime.content.AbstractContentBody,0.00,7,1,16,0,7,7,0,4,300,1
"org.apache.http.entity.mime.content.InputStreamBody",9,2.00,1.33,33,0.31,8152.55,11,2,4,13,5,129.85,7,49,3,2,129.85,0.00,0.50,0.00,1,9.00,3,924.34,0,4,2,org.apache.http.entity.mime.content.AbstractContentBody,0.00,4,1,12,0,4,5,0,2,215,1
"org.apache.http.entity.mime.content.StringBody",13,2.00,1.38,44,0.50,12145.27,15,2,9,22,7,179.74,16,74,5,2,129.74,0.00,0.50,0.00,2,13.00,3,1512.19,0,7,2,org.apache.http.entity.mime.content.AbstractContentBody,0.00,9,1,18,0,9,6,0,5,348,1
"org.apache.http.cookie.ClientCookie",2,10.00,1.00,13,0.17,2680.92,12,10,0,2,5,75.06,14,14,5,2,117.35,0.00,0.50,0.00,0,2.00,1,505.04,0,1,0,,0.00,0,1,2,0,0,1,0,3,108,1
"org.apache.http.cookie.Cookie",12,0.00,1.00,13,0.04,141.89,12,0,1,12,20,130.33,78,14,20,1,162.55,0.00,0.00,0.00,0,12.00,1,121.26,0,7,0,,0.00,0,0,12,0,0,5,0,13,57,1
"org.apache.http.cookie.CookieAttributeHandler",3,0.00,1.00,4,0.03,138.66,3,0,0,3,9,113.76,34,7,7,1,157.89,0.00,0.00,0.00,0,3.00,1,100.44,0,0,2,,0.00,0,0,3,0,0,3,0,4,33,1
"org.apache.http.cookie.CookieSpec",6,0.00,1.00,7,0.06,316.39,6,0,2,6,9,108.96,61,8,8,1,157.44,0.00,0.00,0.00,0,6.00,1,169.36,0,3,1,,0.00,0,0,6,0,0,3,0,7,56,1
"org.apache.http.cookie.CookieSpecFactory",1,0.00,1.00,2,0.01,30.51,1,0,1,1,2,110.52,12,3,1,1,148.08,0.00,0.00,0.00,0,1.00,1,25.51,0,1,1,,0.00,0,0,1,0,0,0,0,2,11,1
"org.apache.http.cookie.Immutable",2,1.00,3.50,20,0.20,6335.37,3,1,3,6,1,57.74,16,26,0,1,105.84,0.00,0.00,0.00,1,2.00,4,593.90,0,1,1,java.lang.Object,0.00,4,0,7,0,4,1,2,2,132,1
"org.apache.http.cookie.SM",0,0.00,0.00,5,0.05,743.92,4,4,0,0,3,171.00,6,6,3,1,171.00,0.00,0.00,0.00,0,0.00,0,163.50,0,0,0,,0.00,0,0,0,0,0,0,0,1,40,1
"org.apache.http.cookie.SetCookie",7,0.00,1.00,8,0.04,144.76,7,0,1,7,5,112.54,60,9,5,2,160.64,0.00,0.50,0.00,0,7.00,1,126.66,0,0,0,,0.00,0,1,7,0,0,7,0,7,49,1
"org.apache.http.cookie.SetCookie2",3,0.00,1.00,4,0.02,96.69,3,0,0,3,4,116.83,21,5,4,2,159.12,0.00,0.50,0.00,0,3.00,1,68.77,0,0,0,,0.00,0,1,3,0,0,3,0,4,26,1
"org.apache.http.cookie.TestCookieOrigin",6,0.00,1.00,21,0.30,5587.41,6,0,2,13,0,129.82,3,34,0,1,129.82,0.00,0.00,0.00,0,6.00,1,905.97,0,0,0,java.lang.Object,0.00,7,0,6,0,7,6,0,1,205,1
"org.apache.http.cookie.TestCookiePathComparator",6,0.00,1.00,49,0.73,23358.52,6,0,4,11,1,109.04,3,62,0,1,109.04,0.00,0.00,0.00,0,6.00,1,2175.80,0,0,1,java.lang.Object,0.00,5,0,6,0,5,6,0,1,448,1
"org.apache.http.cookie.TestCookiePolicy",3,0.50,3.00,61,0.85,39206.90,6,3,10,20,0,110.42,9,88,0,1,89.80,0.00,0.00,0.67,0,1.00,5,2537.69,0,0,0,java.lang.Object,0.00,17,0,9,0,17,3,0,7,502,1
"org.apache.http.cookie.ThreadSafe",7,0.33,1.86,32,0.37,8437.69,8,1,7,19,2,76.03,59,48,0,1,124.14,0.00,0.00,0.71,1,0.00,3,1108.58,0,3,2,java.lang.Object,0.00,12,0,13,0,12,4,0,7,247,2
"org.apache.http.impl.cookie.Immutable",4,0.00,1.25,10,0.09,1504.53,4,0,7,5,4,189.44,5,18,0,1,139.44,0.00,0.00,0.00,0,4.00,2,281.81,0,0,4,java.lang.Object,0.00,1,0,5,0,1,4,1,1,75,1
"org.apache.http.impl.cookie.Immutable$DateFormatHolder",1,0.00,3.00,15,0.24,10625.71,1,0,10,12,0,57.61,12,23,0,1,95.17,0.00,0.00,0.00,0,1.00,3,724.08,0,1,0,java.lang.Object,0.00,11,0,3,0,11,0,0,1,149,2
"org.apache.http.impl.cookie.Immutable$DateFormatHolder$ThreadLocal<SoftReference<Map<String,SimpleDateFormat>>>",1,0.00,1.00,3,0.06,1340.27,1,0,10,3,0,128.58,0,6,0,1,128.58,0.00,0.00,0.00,0,1.00,1,182.51,0,1,0,java.lang.Object,0.00,2,0,1,0,2,0,0,0,48,0
"org.apache.http.impl.cookie.NotThreadSafe",13,0.12,3.08,100,1.07,45895.47,19,6,10,31,4,161.28,16,142,0,1,111.28,0.00,0.00,0.05,4,57.00,9,3221.99,0,4,4,java.lang.Object,0.00,18,0,40,0,18,9,1,11,662,1
"org.apache.http.impl.cookie.PublicSuffixFilter",7,0.22,2.14,32,0.44,15258.07,10,3,9,18,5,142.69,26,41,2,1,122.08,0.00,0.00,0.14,1,10.00,8,1311.82,0,0,3,java.lang.Object,0.00,11,0,15,0,11,7,1,6,281,1
"org.apache.http.impl.cookie.TestAbstractCookieSpec",4,0.00,1.00,35,0.50,18055.20,4,0,10,17,3,108.53,0,43,0,1,108.53,0.00,0.00,0.00,0,4.00,1,1486.49,0,0,3,java.lang.Object,0.00,13,0,4,0,13,4,0,0,304,1
"org.apache.http.impl.cookie.TestAbstractCookieSpec$DummyCookieAttribHandler",3,0.00,1.00,5,0.05,308.89,3,0,10,3,3,155.15,0,10,0,1,155.15,0.00,0.00,0.00,0,3.00,1,138.78,0,0,3,java.lang.Object,0.00,0,0,3,0,0,3,1,0,41,2
"org.apache.http.impl.cookie.TestAbstractCookieSpec$DummyCookieSpec",6,0.00,1.00,12,0.09,872.49,6,0,10,6,1,142.74,0,19,0,2,142.74,0.00,0.50,0.00,0,6.00,1,277.42,0,3,1,AbstractCookieSpec,0.00,0,1,6,0,0,3,0,0,79,2
"org.apache.http.impl.cookie.TestBasicClientCookie",3,0.00,1.33,37,0.59,18738.30,3,0,6,23,0,150.79,4,46,0,1,100.79,0.00,0.00,0.00,0,3.00,2,1768.29,0,0,0,java.lang.Object,0.00,20,0,4,0,20,3,0,2,341,1
"org.apache.http.impl.cookie.TestBasicClientCookie2",3,0.00,1.67,52,0.89,38801.60,3,0,6,26,0,142.61,4,59,0,1,92.61,0.00,0.00,0.00,0,3.00,2,2672.54,0,0,0,java.lang.Object,0.00,23,0,5,0,23,3,0,2,482,1
"org.apache.http.impl.cookie.TestBasicCookieAttribHandlers",32,0.00,1.75,259,3.60,98267.38,32,0,20,66,2,109.72,24,372,0,1,109.72,0.00,0.00,0.00,0,32.00,6,10807.95,0,0,2,java.lang.Object,0.00,34,0,56,0,34,32,0,24,2176,1
"org.apache.http.impl.cookie.TestBrowserCompatSpec",55,0.00,1.80,686,12.19,463683.00,55,0,12,91,3,149.69,66,788,0,1,99.69,0.00,0.00,0.00,1,55.00,9,36572.24,0,0,3,java.lang.Object,0.00,36,0,99,0,36,55,0,36,6454,1
"org.apache.http.impl.cookie.TestCookieBestMatchSpec",10,0.00,2.10,149,2.28,80772.28,10,0,12,43,4,137.19,23,176,0,1,97.31,0.00,0.00,0.00,0,10.00,5,6843.44,0,0,4,java.lang.Object,0.00,33,0,21,0,33,10,0,21,1233,1
"org.apache.http.impl.cookie.TestCookieNetscapeDraft",13,0.00,2.00,162,2.76,84944.50,13,0,13,44,3,140.43,29,200,0,1,100.54,0.00,0.00,0.00,0,13.00,5,8291.84,0,0,3,java.lang.Object,0.00,31,0,26,0,31,13,0,15,1477,1
"org.apache.http.impl.cookie.TestCookieRFC2109Spec",19,0.00,2.26,273,4.35,155419.24,19,0,11,47,3,137.13,51,347,0,1,97.25,0.00,0.00,0.00,0,19.00,6,13039.35,0,0,3,java.lang.Object,0.00,28,0,43,0,28,19,0,24,2340,1
"org.apache.http.impl.cookie.TestCookieRFC2965Spec",46,0.00,1.80,644,10.45,408869.20,46,0,12,93,3,117.63,162,739,0,1,97.02,0.00,0.00,0.00,0,46.00,6,31361.15,0,0,3,java.lang.Object,0.00,47,0,83,0,47,46,0,92,5588,1
"org.apache.http.impl.cookie.TestDateUtils",6,0.00,1.67,65,0.96,32628.15,6,0,4,16,0,154.16,7,91,0,1,104.16,0.00,0.00,0.00,0,6.00,5,2868.54,0,0,0,java.lang.Object,0.00,10,0,10,0,10,6,0,5,562,1
"org.apache.http.impl.cookie.TestNetscapeCookieAttribHandlers",7,0.00,2.00,67,0.88,22272.15,7,0,5,16,1,157.66,7,96,0,1,107.66,0.00,0.00,0.00,0,7.00,3,2646.97,0,0,1,java.lang.Object,0.00,9,0,14,0,9,7,0,7,520,1
"org.apache.http.impl.cookie.TestNetscapeDraftHeaderParser",1,0.00,1.00,28,0.51,21677.22,1,0,6,15,0,103.49,3,32,0,1,82.87,0.00,0.00,0.00,0,1.00,1,1529.53,0,0,0,java.lang.Object,0.00,14,0,1,0,14,1,0,1,266,1
"org.apache.http.impl.cookie.TestPublicSuffixListParser",4,0.17,1.00,36,0.62,18984.89,6,2,6,17,1,156.45,4,45,0,1,106.45,0.00,0.00,0.62,0,0.00,1,1847.38,0,0,1,java.lang.Object,0.00,13,0,4,0,13,4,0,4,375,1
