Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.http.conn.ssl.CertificatesToPlayWith",0,0.00,0.00,20,2.27,55234.06,19,19,0,1,2,171.00,53,347,2,1,171.00,0.00,0.00,0.00,0,0.00,0,6819.35,0,0,0,,0.00,1,0,0,0,1,0,0,13,846,1
"org.apache.http.conn.ssl.HostnameVerifier",4,0.00,1.00,12,0.13,3681.96,4,0,14,5,4,119.50,63,16,4,2,129.86,0.00,0.50,0.00,0,4.00,1,384.14,0,0,0,,0.00,1,1,4,0,1,4,0,5,97,1
"org.apache.http.conn.ssl.HostnameVerifier$AbstractVerifier",2,0.00,1.00,5,0.05,719.76,2,0,14,2,0,139.64,0,7,0,1,139.64,0.00,0.00,0.00,1,2.00,1,138.11,0,1,0,java.lang.Object,0.00,0,0,2,0,0,1,0,0,39,0
"org.apache.http.conn.ssl.HostnameVerifier$AbstractVerifier_0",2,0.00,1.00,5,0.05,719.76,2,0,14,2,0,139.64,0,7,0,1,139.64,0.00,0.00,0.00,1,2.00,1,138.11,0,1,0,java.lang.Object,0.00,0,0,2,0,0,1,0,0,39,0
"org.apache.http.conn.ssl.HostnameVerifier$AbstractVerifier_1",2,0.00,1.00,4,0.03,293.62,2,0,14,2,0,142.71,1,5,0,1,142.71,0.00,0.00,0.00,0,2.00,1,95.34,0,1,0,java.lang.Object,0.00,0,0,2,0,0,1,0,1,30,0
"org.apache.http.conn.ssl.HostnameVerifier$AbstractVerifier_2",0,0.00,0.00,121,2.08,310526.77,1,1,14,3,1,171.00,95,163,0,1,171.00,0.00,0.00,0.00,0,0.00,0,6241.19,0,0,1,java.lang.Object,0.00,3,0,0,0,3,0,1,34,878,1
"org.apache.http.conn.ssl.SSLSocketFactory",12,0.05,1.75,66,0.91,25877.51,19,7,22,29,6,68.55,108,123,3,1,118.55,0.00,0.00,0.10,2,56.00,4,2742.50,0,6,3,java.lang.Object,0.00,17,0,21,0,17,6,1,7,564,1
"org.apache.http.conn.ssl.TestAllSSL",3,0.00,1.00,11,0.10,2271.14,3,0,1,9,4,130.53,0,15,2,2,130.53,0.00,0.50,0.00,0,3.00,1,310.03,0,1,2,junit.framework.TestCase,0.00,6,1,3,0,6,2,0,0,81,1
"org.apache.http.conn.ssl.TestHostnameVerifier",5,0.00,1.20,122,1.53,172084.26,5,0,8,14,4,51.53,30,133,2,2,83.75,0.00,0.50,0.00,1,8.00,2,4601.63,0,1,2,junit.framework.TestCase,0.00,9,1,6,0,9,4,1,19,845,1
"org.apache.http.conn.ssl.TestSSLSocketFactory",12,0.00,1.17,81,1.28,40867.71,12,0,22,56,5,164.12,13,105,2,2,114.12,0.00,0.50,0.00,2,22.00,3,3830.19,0,1,3,junit.framework.TestCase,0.00,44,1,14,0,44,11,1,8,642,1
"org.apache.http.conn.ssl.TestSSLSocketFactory$Runnable",1,0.00,2.00,14,0.16,3837.04,1,0,22,10,0,99.86,0,18,0,1,99.86,0.00,0.00,0.00,0,1.00,2,471.64,0,0,0,java.lang.Object,0.00,9,0,2,0,9,1,0,0,93,0
"org.apache.http.cookie.Cookie",21,0.02,1.10,60,0.39,5716.15,31,10,1,25,27,90.58,207,85,27,1,140.58,0.00,0.00,0.09,0,311.00,2,1181.41,0,6,0,java.lang.Object,0.00,4,0,23,0,4,15,0,31,318,1
"org.apache.http.cookie.CookieAttributeHandler",3,0.00,1.00,4,0.03,138.66,3,0,0,3,10,113.76,35,7,7,1,157.89,0.00,0.00,0.00,0,3.00,1,100.44,0,0,3,,0.00,0,0,3,0,0,3,0,4,33,1
"org.apache.http.cookie.CookieOrigin",5,4.00,2.00,30,0.29,11126.84,9,4,0,9,24,165.45,8,44,24,1,115.45,0.00,0.00,0.00,0,5.00,6,863.22,0,2,0,java.lang.Object,0.00,4,0,10,0,4,3,0,1,188,2
"org.apache.http.cookie.CookiePathComparator",2,0.00,3.50,21,0.20,7055.58,2,0,1,6,2,63.18,15,27,1,1,105.47,0.00,0.00,0.00,1,2.00,4,589.16,0,1,1,java.lang.Object,0.00,4,0,7,0,4,1,1,2,130,1
"org.apache.http.cookie.CookiePolicy",7,0.50,1.86,29,0.35,9492.97,8,1,5,20,4,79.61,79,46,1,1,123.73,0.00,0.00,0.57,1,3.00,3,1058.77,0,1,3,java.lang.Object,0.00,13,0,13,0,13,6,0,7,237,1
"org.apache.http.cookie.CookieSpec",4,0.00,1.00,5,0.04,198.62,4,0,1,4,13,128.26,52,6,10,1,157.64,0.00,0.00,0.00,0,4.00,1,127.73,0,1,3,,0.00,0,0,4,0,0,3,0,5,42,1
"org.apache.http.cookie.CookieSpecFactory",1,0.00,1.00,2,0.01,30.51,1,0,1,1,2,115.86,6,3,1,1,148.08,0.00,0.00,0.00,0,1.00,1,25.51,0,1,1,,0.00,0,0,1,0,0,0,0,1,11,1
"org.apache.http.cookie.MalformedCookieException",3,1.00,1.00,8,0.05,538.90,4,1,1,3,25,93.91,25,12,25,2,142.02,0.00,0.50,0.00,0,3.00,1,153.79,0,0,0,org.apache.http.ProtocolException,0.00,0,1,3,0,0,3,0,4,46,1
"org.apache.http.cookie.TestAllCookie",3,0.00,1.00,12,0.12,2866.67,3,0,1,10,5,125.07,0,16,2,2,125.07,0.00,0.50,0.00,0,3.00,1,349.20,0,1,3,junit.framework.TestCase,0.00,7,1,3,0,7,2,0,0,90,1
"org.apache.http.cookie.TestCookieOrigin",8,0.00,1.50,29,0.28,3934.85,8,0,3,16,3,181.91,9,46,2,2,131.91,0.00,0.50,0.00,0,8.00,2,839.18,0,1,1,junit.framework.TestCase,0.00,8,1,12,0,8,7,0,7,205,1
"org.apache.http.cookie.TestCookiePathComparator",8,0.00,1.00,53,0.62,15666.30,8,0,4,14,4,116.05,5,62,2,2,116.05,0.00,0.50,0.00,0,8.00,1,1861.55,0,1,2,junit.framework.TestCase,0.00,6,1,8,0,6,7,0,3,414,1
"org.apache.http.cookie.TestCookiePolicy",5,0.00,2.40,60,0.69,27240.18,5,0,10,19,9,141.01,12,87,2,2,101.12,0.00,0.50,0.00,0,5.00,6,2077.05,0,1,7,junit.framework.TestCase,0.00,14,1,12,0,14,4,0,10,436,1
"org.apache.http.cookie.params.CookieSpecParams",2,0.14,2.50,19,0.22,4409.03,9,7,1,5,4,158.86,51,25,4,1,108.87,0.00,0.00,0.21,0,0.00,3,645.71,0,1,0,java.lang.Object,0.00,3,0,5,0,3,1,0,9,142,2
"org.apache.httpclient.impl.AutoCloseInputStream",7,0.50,1.43,29,0.24,4499.58,9,2,3,8,3,78.24,59,41,2,2,126.35,0.00,0.50,0.07,3,12.00,3,732.26,2,0,1,java.io.FilterInputStream,0.00,1,1,10,0,1,7,0,9,184,0
"org.apache.httpclient.impl.DefaultResponseConsumedWatcher",2,3.00,3.00,18,0.18,4382.34,5,3,6,6,2,90.97,10,30,1,1,108.84,0.00,0.00,0.00,0,2.00,3,543.09,0,0,1,java.lang.Object,0.00,4,0,6,0,4,2,1,2,122,1
"org.apache.httpclient.impl.ResponseConsumedWatcher",1,0.00,1.00,2,0.00,14.34,1,0,0,1,5,159.79,17,3,5,1,150.66,0.00,0.00,0.00,0,1.00,1,14.34,0,0,0,,0.00,0,0,1,0,0,1,0,2,8,0
"org.apache.httpclient.impl.TestAllHttpClientImpl",3,0.00,1.00,11,0.10,2271.14,3,0,1,9,4,130.53,0,15,2,2,130.53,0.00,0.50,0.00,0,3.00,1,310.03,0,1,2,junit.framework.TestCase,0.00,6,1,3,0,6,2,0,0,81,1
"org.apache.httpclient.impl.TestAutoCloseInputStream",6,0.00,1.17,41,0.51,22685.33,6,0,6,18,4,113.77,3,46,2,2,113.77,0.00,0.50,0.00,0,6.00,2,1541.56,0,1,2,junit.framework.TestCase,0.00,12,1,7,0,12,5,0,3,321,1
"org.apache.httpclient.impl.TestAutoCloseInputStream$TestResponseConsumedWatcher",3,0.50,1.00,9,0.04,334.00,4,1,6,3,1,137.09,0,13,0,1,137.09,0.00,0.00,0.67,0,1.00,1,126.96,0,0,1,java.lang.Object,0.00,0,0,3,0,0,3,1,0,40,0
"org.apache.httpclient.impl.TestDefaultResponseConsumedWatcher",6,0.00,1.67,49,0.70,17268.07,6,0,14,28,6,159.96,6,63,2,2,109.96,0.00,0.50,0.00,0,6.00,3,2095.56,0,1,4,junit.framework.TestCase,0.00,22,1,10,0,22,5,0,6,392,1
"org.apache.http.auth.AuthScheme",7,0.00,1.00,8,0.04,190.08,7,0,2,7,3,130.33,94,9,0,1,159.71,0.00,0.00,0.00,0,7.00,1,121.84,0,4,3,,0.00,0,0,7,0,0,3,0,8,47,1
"org.apache.http.auth.AuthenticationException",3,1.00,1.00,8,0.05,538.90,4,1,1,3,2,93.91,24,12,2,2,142.02,1.00,0.33,0.00,0,3.00,1,153.79,0,0,0,org.apache.http.ProtocolException,0.00,0,1,3,1,0,3,0,4,46,1
"org.apache.http.auth.Credentials",0,0.00,0.00,1,0.00,12.00,0,0,0,0,1,171.00,10,2,1,1,171.00,0.00,0.00,0.00,0,0.00,0,8.00,0,0,0,,0.00,0,0,0,0,0,0,0,1,4,1
"org.apache.http.auth.InvalidCredentialsException",3,1.00,1.00,8,0.05,538.90,4,1,0,3,1,99.73,23,12,0,3,142.02,0.00,0.67,0.00,0,3.00,1,153.79,0,0,1,org.apache.http.auth.AuthenticationException,0.00,0,2,3,0,0,3,0,4,46,1
"org.apache.http.auth.MalformedChallengeException",3,1.00,1.00,8,0.05,483.35,4,1,1,3,1,94.28,25,12,1,2,142.39,0.00,0.50,0.00,0,3.00,1,148.39,0,0,0,org.apache.http.ProtocolException,0.00,0,1,3,0,0,3,0,4,45,1
"org.apache.http.conn.ConnectTimeoutException",2,1.00,1.00,6,0.04,402.15,3,1,1,2,3,86.96,16,9,3,2,135.06,1.00,0.33,0.00,0,2.00,1,110.07,0,0,0,java.io.InterruptedIOException,0.00,0,1,2,1,0,2,0,3,33,1
"org.apache.http.conn.ConnectionPoolTimeoutException",2,1.00,1.00,6,0.04,423.74,3,1,0,2,3,86.78,16,9,2,3,134.89,0.00,0.67,0.00,0,2.00,1,110.60,0,0,1,org.apache.http.conn.ConnectTimeoutException,0.00,0,2,2,0,0,2,0,3,33,1
"org.apache.http.conn.HostConfiguration",8,4.00,1.75,48,0.51,17889.30,12,4,3,16,11,67.36,65,67,11,1,115.47,0.00,0.00,0.00,0,8.00,4,1544.28,0,4,0,java.lang.Object,0.00,8,0,14,0,8,4,1,14,351,1
"org.apache.http.conn.HttpConnectionManager",5,0.00,1.00,6,0.03,119.36,5,0,0,5,5,111.67,54,8,3,1,160.15,0.00,0.00,0.00,0,5.00,1,97.75,0,2,3,,0.00,0,0,5,0,0,3,0,5,37,1
"org.apache.http.conn.HttpHostConnection",10,0.00,1.00,11,0.06,231.45,10,0,6,10,7,160.26,0,12,6,3,160.26,0.00,0.67,0.00,0,10.00,1,172.99,0,2,2,,0.00,0,2,10,0,0,8,0,0,66,1
"org.apache.http.conn.PlainSocketFactory",5,1.00,1.60,20,0.22,6816.29,6,1,6,13,3,75.64,44,35,2,1,123.75,0.00,0.00,0.20,0,8.00,4,671.29,0,2,1,java.lang.Object,0.00,8,0,8,0,8,3,1,7,151,1
"org.apache.http.conn.Scheme",12,0.02,2.00,65,0.70,19869.96,17,5,5,31,4,77.13,94,92,3,1,119.42,0.00,0.00,0.18,0,64.00,4,2101.21,0,4,1,java.lang.Object,0.00,19,0,24,0,19,8,0,18,469,1
"org.apache.http.conn.SecureSocketFactory",1,0.00,1.00,2,0.03,129.64,1,0,3,1,2,193.13,25,8,2,2,143.13,0.00,0.50,0.00,0,1.00,1,75.21,0,1,0,,0.00,0,1,1,0,0,0,0,2,22,1
"org.apache.http.conn.SocketFactory",1,0.00,1.00,2,0.03,133.24,1,0,5,1,4,150.30,35,9,3,1,143.04,0.00,0.00,0.00,0,1.00,1,83.57,0,1,1,,0.00,0,0,1,0,0,0,0,2,23,1
"org.apache.http.conn.TestScheme",10,0.00,1.80,77,0.96,32304.89,10,0,4,31,4,161.71,13,104,1,2,111.71,0.00,0.50,0.00,0,10.00,5,2883.80,0,1,3,junit.framework.TestCase,0.00,21,1,18,0,21,9,0,9,624,1
"org.apache.httpclient.TestAll",3,0.00,1.00,13,0.13,3506.66,3,0,5,11,5,124.38,0,17,1,2,124.38,0.00,0.50,0.00,0,3.00,1,389.74,0,1,4,junit.framework.TestCase,0.00,8,1,3,0,8,2,0,0,99,1
"org.apache.http.mockup.HttpConnectionMockup",7,1.00,1.00,15,0.09,852.42,8,1,2,7,1,143.35,5,23,1,1,143.35,0.00,0.00,0.00,0,7.00,1,279.88,0,0,0,java.lang.Object,0.00,0,0,7,0,0,7,1,1,83,1
"org.apache.http.conn.params.HttpConnectionManagerParams",6,0.10,2.50,42,0.52,18384.19,10,4,4,16,3,101.45,90,81,2,1,111.81,0.00,0.00,0.17,2,14.00,5,1553.27,0,0,1,java.lang.Object,0.00,10,0,15,0,10,6,0,17,324,2
"org.apache.http.conn.impl.DefaultHttpHostConnection",12,0.11,2.33,96,1.19,55700.58,18,6,14,32,8,90.37,67,132,2,2,108.24,1.00,0.33,0.07,1,36.00,9,3579.51,0,3,6,org.apache.http.impl.SocketHttpClientConnection,0.00,20,1,28,1,20,9,1,14,656,1
"org.apache.http.conn.impl.IdleConnectionHandler",5,0.00,2.20,29,0.35,9403.16,7,2,7,21,2,86.74,34,42,1,1,118.96,0.00,0.00,0.50,0,2.00,6,1046.75,0,0,1,java.lang.Object,0.00,16,0,11,0,16,5,0,8,219,1
"org.apache.http.conn.impl.MultiThreadedHttpConnectionManager",17,0.03,2.53,151,1.77,91392.36,25,8,25,73,8,70.16,215,223,2,1,107.72,0.00,0.00,0.15,4,106.00,12,5301.77,0,4,6,java.lang.Object,0.00,56,0,43,0,56,13,1,69,1018,1
"org.apache.http.conn.impl.MultiThreadedHttpConnectionManager$ConnectionPool",12,0.11,2.83,118,1.28,37616.16,17,5,25,41,4,65.34,94,155,0,1,107.63,0.00,0.00,0.30,3,0.00,7,3840.20,0,2,4,java.lang.Object,0.00,29,0,34,0,29,10,0,40,796,1
"org.apache.http.conn.impl.MultiThreadedHttpConnectionManager$ConnectionSource",0,0.00,0.00,3,0.02,155.67,2,2,25,0,1,171.00,2,4,0,1,171.00,0.00,0.00,0.00,0,0.00,0,51.89,0,0,1,java.lang.Object,0.00,0,0,0,0,0,0,0,2,15,2
"org.apache.http.conn.impl.MultiThreadedHttpConnectionManager$HostConnectionPool",0,0.00,0.00,5,0.05,875.68,4,4,25,1,1,171.00,4,6,0,1,171.00,0.00,0.00,0.00,0,0.00,0,145.95,0,0,1,java.lang.Object,0.00,1,0,0,0,1,0,0,4,35,2
"org.apache.http.conn.impl.MultiThreadedHttpConnectionManager$HttpConnectionAdapter",25,0.08,1.88,108,0.69,11408.56,26,1,25,47,3,177.46,38,160,0,1,127.46,0.00,0.00,0.92,1,0.00,2,2080.13,0,6,3,java.lang.Object,0.00,22,0,47,0,22,19,1,29,541,2
"org.apache.http.conn.impl.MultiThreadedHttpConnectionManager$HttpConnectionWithReference",1,1.00,1.00,4,0.03,456.19,2,1,25,2,1,148.22,3,6,0,3,127.60,0.00,0.67,0.00,0,1.00,1,90.09,0,0,1,org.apache.http.conn.impl.DefaultHttpHostConnection,0.00,1,2,1,0,1,1,0,1,25,2
"org.apache.http.conn.impl.MultiThreadedHttpConnectionManager$ReferenceQueueThread",4,1.00,2.25,22,0.20,4200.82,5,1,25,7,0,121.18,16,36,0,2,120.95,0.00,0.50,0.00,1,4.00,4,606.56,0,0,0,java.lang.Thread,0.00,3,1,9,0,3,4,0,8,139,2
