"","factor","MeanDecreaseGini"
"1","SUM_LCOM2",5.28583943561012
"2","SUM_HEFF",5.02055451230497
"3","Mean_NQU",3.91194127521734
"4","SUM_HEFF",7.62086673381864
"5","Mean_CCML",4.5700097908524
"6","SUM_LCOM",4.34643620361054
"7","SUM_HEFF",6.30570585198138
"8","Mean_CCML",5.27090431502542
"9","SUM_EXT",4.36077398463987
"10","Mean_EXT",5.49401815741785
"11","SUM_HEFF",5.35717061859586
"12","Mean_NQU",4.66714858325113
"13","Mean_HEFF",6.70896772703929
"14","Mean_LCOM2",5.11173895118456
"15","Mean_CCOM",4.89297789695807
"16","SUM_MI",5.91017751810554
"17","SUM_LCOM2",5.84127257325594
"18","SUM_HEFF",4.76348324865017
"19","Mean_CCML",6.09519056391312
"20","SUM_HVOL",4.80654481526633
"21","Mean_CCOM",4.80551841910266
"22","SUM_HEFF",5.69349659042387
"23","Mean_CCML",5.11579399776786
"24","Mean_CCOM",3.69374303074538
"25","Mean_MI",6.19497700234366
"26","SUM_HEFF",5.26503277950979
"27","Mean_CCML",4.42978266065895
"28","Mean_CCML",5.23441015151464
"29","SUM_HVOL",4.09878851452777
"30","Mean_EXT",3.647560127079
"31","Mean_CCML",5.75426990190201
"32","SUM_HEFF",5.0138543960781
"33","Mean_CCOM",4.3856359393469
"34","Mean_CCML",6.50370789504703
"35","SUM_HEFF",6.09937941234566
"36","SUM_LCOM2",4.03160966680378
"37","SUM_HEFF",6.24414084172699
"38","Mean_CCML",5.07088183680765
"39","Mean_EXT",4.81460085072269
"40","SUM_HEFF",5.76407124516547
"41","Mean_CCML",4.93401330200786
"42","Mean_MI",4.47338516245559
"43","SUM_HEFF",5.93830134121286
"44","Mean_NCO",4.95644745128836
"45","SUM_AVCC",4.72267252799535
"46","SUM_HEFF",5.59359049174882
"47","SUM_LCOM2",5.12508818218432
"48","Mean_CCML",4.95039299011664
"49","Mean_CCML",6.09909635827628
"50","SUM_HVOL",5.22553597693706
"51","SUM_HEFF",5.0944243148373
"52","Mean_CCML",6.46791791562045
"53","SUM_LCOM2",5.42689306330309
"54","SUM_HEFF",4.60236597991405
"55","Mean_CCML",7.38389322201795
"56","SUM_HEFF",5.54836663434043
"57","Mean_LCOM2",4.63100097133522
"58","SUM_HEFF",4.75331080852797
"59","Mean_CCML",4.66964445407378
"60","SUM_HVOL",4.32682163799301
"61","Mean_HEFF",6.63861716558327
"62","Mean_CCOM",4.69649292923657
"63","Mean_MINC",4.32603422671462
"64","Mean_CCML",5.98475175993115
"65","SUM_HEFF",4.942279485219
"66","SUM_LCOM2",4.48122260958787
"67","Mean_HEFF",7.99248335719452
"68","Mean_EXT",5.28365201613874
"69","SUM_AVCC",4.17633397731476
"70","SUM_HEFF",4.30663656498551
"71","SUM_HVOL",3.87053013979847
"72","Mean_CCML",3.54415206879789
"73","SUM_HEFF",6.59563644709996
"74","Mean_MINC",4.67313768446693
"75","SUM_CCOM",4.16983584432298
"76","SUM_HEFF",6.1146988504122
"77","Mean_MI",5.31016345207899
"78","Mean_CCML",5.26736202024557
"79","SUM_HEFF",7.32044578053985
"80","SUM_LCOM2",5.09982694550106
