"","factor","MeanDecreaseGini"
"1","MaxAge",2.05515017286239
"2","AvgAge",1.8065817241076
"3","numChangeOperations",1.47360264828655
"4","MaxAge",2.16640254449623
"5","AvgAge",1.50372985904825
"6","numChangeOperations",1.2604829622957
"7","numChangeOperations",1.70644152311002
"8","numAddOperations",1.5411576369761
"9","AvgAge",1.51711019955451
"10","avgResponseTime",1.78346629983043
"11","AvgAge",1.63787470839064
"12","MaxAge",1.52375552711655
"13","avgResponseTime",1.78346629983043
"14","AvgAge",1.63787470839064
"15","MaxAge",1.52375552711655
"16","avgResponseTime",1.78346629983043
"17","AvgAge",1.63787470839064
"18","MaxAge",1.52375552711655
"19","avgResponseTime",1.78346629983043
"20","AvgAge",1.63787470839064
"21","MaxAge",1.52375552711655
"22","avgResponseTime",1.78346629983043
"23","AvgAge",1.63787470839064
"24","MaxAge",1.52375552711655
"25","avgResponseTime",1.78346629983043
"26","AvgAge",1.63787470839064
"27","MaxAge",1.52375552711655
"28","avgResponseTime",1.78346629983043
"29","AvgAge",1.63787470839064
"30","MaxAge",1.52375552711655
"31","avgResponseTime",1.78346629983043
"32","AvgAge",1.63787470839064
"33","MaxAge",1.52375552711655
"34","avgResponseTime",1.78346629983043
"35","AvgAge",1.63787470839064
"36","MaxAge",1.52375552711655
"37","avgResponseTime",1.78346629983043
"38","AvgAge",1.63787470839064
"39","MaxAge",1.52375552711655
"40","avgResponseTime",1.78346629983043
"41","AvgAge",1.63787470839064
"42","MaxAge",1.52375552711655
"43","avgResponseTime",1.78346629983043
"44","AvgAge",1.63787470839064
"45","MaxAge",1.52375552711655
"46","avgResponseTime",1.78346629983043
"47","AvgAge",1.63787470839064
"48","MaxAge",1.52375552711655
"49","avgResponseTime",1.78346629983043
"50","AvgAge",1.63787470839064
"51","MaxAge",1.52375552711655
"52","avgResponseTime",1.78346629983043
"53","AvgAge",1.63787470839064
"54","MaxAge",1.52375552711655
"55","avgResponseTime",1.78346629983043
"56","AvgAge",1.63787470839064
"57","MaxAge",1.52375552711655
"58","avgResponseTime",1.78346629983043
"59","AvgAge",1.63787470839064
"60","MaxAge",1.52375552711655
"61","avgResponseTime",1.78346629983043
"62","AvgAge",1.63787470839064
"63","MaxAge",1.52375552711655
"64","avgResponseTime",1.78346629983043
"65","AvgAge",1.63787470839064
"66","MaxAge",1.52375552711655
"67","avgResponseTime",1.78346629983043
"68","AvgAge",1.63787470839064
"69","MaxAge",1.52375552711655
"70","avgResponseTime",1.78346629983043
"71","AvgAge",1.63787470839064
"72","MaxAge",1.52375552711655
"73","avgResponseTime",1.78346629983043
"74","AvgAge",1.63787470839064
"75","MaxAge",1.52375552711655
"76","avgResponseTime",1.78346629983043
"77","AvgAge",1.63787470839064
"78","MaxAge",1.52375552711655
"79","avgResponseTime",1.78346629983043
"80","AvgAge",1.63787470839064
"81","MaxAge",1.52375552711655
"82","avgResponseTime",1.78346629983043
"83","AvgAge",1.63787470839064
"84","MaxAge",1.52375552711655
"85","avgResponseTime",1.78346629983043
"86","AvgAge",1.63787470839064
"87","MaxAge",1.52375552711655
"88","avgResponseTime",1.78346629983043
"89","AvgAge",1.63787470839064
"90","MaxAge",1.52375552711655
"91","avgResponseTime",1.78346629983043
"92","AvgAge",1.63787470839064
"93","MaxAge",1.52375552711655
"94","avgResponseTime",1.78346629983043
"95","AvgAge",1.63787470839064
