Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.jackrabbit.webdav.search.QueryGrammerSet",5,0.00,2.20,37,0.42,15726.35,6,1,7,17,6,69.46,36,43,3,2,111.75,0.00,0.50,1.00,0,0.00,3,1246.10,1,3,3,org.apache.jackrabbit.webdav.property.AbstractDavProperty,0.18,12,1,11,0,12,2,1,6,267,1
"org.apache.jackrabbit.webdav.search.SearchConstants",0,0.00,0.00,9,0.15,3100.00,8,8,3,2,5,171.00,48,10,3,1,171.00,0.00,0.00,0.00,0,0.00,0,440.00,0,0,2,,0.00,2,0,0,0,2,0,0,9,88,1
"org.apache.jackrabbit.webdav.search.SearchRequest",5,0.12,1.40,18,0.20,5036.21,7,2,2,16,5,81.00,53,25,4,1,129.48,0.00,0.00,0.40,0,0.00,3,611.23,0,3,1,java.lang.Object,0.00,11,0,7,0,11,2,1,6,142,1
"org.apache.jackrabbit.webdav.search.SearchResource",2,2.00,1.00,5,0.03,256.09,4,2,2,2,5,123.03,29,6,1,1,143.18,0.00,0.00,0.00,0,2.00,1,102.41,0,2,4,,0.00,0,0,2,0,0,0,0,5,32,1
"org.apache.jackrabbit.webdav.spi.AbstractItemResource",22,0.13,2.95,181,2.47,86172.15,25,3,18,91,34,66.48,169,261,3,2,108.77,7.00,0.11,0.21,6,154.00,7,7397.96,6,10,31,org.apache.jackrabbit.webdav.spi.AbstractResource,0.04,69,1,65,7,69,12,3,51,1455,1
"org.apache.jackrabbit.webdav.spi.AbstractResource",35,0.02,1.51,141,1.63,42495.46,46,11,14,83,35,106.29,198,198,3,1,124.16,0.00,0.00,0.07,6,612.00,6,4875.25,0,11,32,java.lang.Object,0.00,48,0,53,9,48,24,3,54,1077,1
"org.apache.jackrabbit.webdav.spi.DavLocatorFactoryImpl",3,0.50,3.33,35,0.44,24739.49,5,2,3,15,4,100.57,49,46,1,1,101.04,0.00,0.00,0.17,0,4.00,8,1332.34,0,2,3,java.lang.Object,0.00,12,0,10,0,12,1,1,15,256,1
"org.apache.jackrabbit.webdav.spi.DavLocatorFactoryImpl$DavResourceLocatorImpl",12,0.07,1.92,54,0.52,16613.76,16,4,3,22,2,81.36,88,75,0,1,123.66,0.00,0.00,0.31,1,18.00,4,1553.05,0,6,2,java.lang.Object,0.00,10,0,23,0,10,6,1,12,371,1
"org.apache.jackrabbit.webdav.spi.DavResourceFactoryImpl",5,0.17,4.00,66,1.03,43760.40,8,3,14,39,23,60.52,62,91,1,1,98.09,0.00,0.00,0.47,0,2.00,8,3077.09,0,3,22,java.lang.Object,0.00,34,0,20,0,34,2,1,15,551,1
"org.apache.jackrabbit.webdav.spi.DefaultItemCollection",24,0.33,4.25,285,4.20,153927.48,26,2,13,125,30,53.36,251,398,4,3,101.84,2.50,0.25,0.19,7,18.00,12,12602.39,20,8,26,org.apache.jackrabbit.webdav.spi.AbstractItemResource,0.19,101,2,102,5,101,16,1,63,2278,1
