Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.jackrabbit.core.fs.BasedFileSystem",22,0.02,1.32,61,0.67,13866.82,24,2,2,46,6,158.28,72,92,3,1,137.66,0.00,0.00,0.48,1,0.00,6,2015.61,0,6,3,java.lang.Object,0.00,24,0,29,0,24,16,1,25,502,1
"org.apache.jackrabbit.core.fs.FileSystem",20,2.00,1.00,23,0.22,1581.24,22,2,2,20,24,107.95,177,25,22,1,156.05,0.00,0.00,0.00,0,20.00,1,662.13,0,5,2,,0.00,0,0,20,0,0,15,0,23,205,1
"org.apache.jackrabbit.core.fs.FileSystemException",4,0.00,1.00,9,0.05,332.37,4,0,1,4,19,112.43,27,14,18,3,144.65,0.00,0.67,0.00,0,4.00,1,136.79,0,0,1,org.apache.jackrabbit.core.BaseException,0.00,0,2,4,0,0,4,0,5,46,1
"org.apache.jackrabbit.core.fs.FileSystemPathUtil",7,0.08,2.00,73,0.77,33719.21,11,4,2,23,5,62.25,54,78,4,1,104.54,0.00,0.00,0.18,1,23.00,4,2310.87,0,6,1,java.lang.Object,0.00,16,0,14,0,16,1,0,11,470,2
"org.apache.jackrabbit.core.fs.FileSystemResource",19,0.22,1.58,65,0.66,18145.18,21,2,3,37,19,129.87,90,101,15,1,129.63,0.00,0.00,0.71,3,0.00,5,1978.22,0,7,4,java.lang.Object,0.00,18,0,30,0,18,12,0,21,470,1
"org.apache.jackrabbit.core.fs.RandomAccessOutputStream",1,0.00,1.00,2,0.02,132.18,1,0,2,1,5,105.50,12,3,5,2,143.07,1.00,0.33,0.00,0,1.00,1,52.87,0,0,0,java.io.OutputStream,0.00,0,1,1,1,0,1,0,2,17,2
"org.apache.jackrabbit.examples.FirstSteps",3,0.00,3.67,51,0.73,29851.98,3,0,15,33,1,61.10,20,63,0,1,93.32,0.00,0.00,0.00,2,3.00,6,2183.23,0,1,1,java.lang.Object,0.00,30,0,11,0,30,2,0,4,393,1
"org.apache.jackrabbit.core.state.AbstractPersistenceManager",9,0.00,1.89,40,0.45,19413.66,9,0,3,21,14,89.92,55,55,5,1,122.14,0.00,0.00,0.00,2,9.00,9,1341.99,0,0,9,java.lang.Object,0.00,12,0,17,5,12,9,1,10,300,2
"org.apache.jackrabbit.core.state.ChangeLog",15,0.14,2.20,96,1.06,28901.83,19,4,4,40,18,83.70,96,133,11,1,115.92,0.00,0.00,0.38,2,15.00,6,3172.63,0,4,7,java.lang.Object,0.00,25,0,33,0,25,11,0,22,727,1
"org.apache.jackrabbit.core.state.ItemState",31,0.05,1.74,161,1.64,47830.86,47,16,10,57,29,87.47,194,220,28,1,119.69,0.00,0.00,0.11,6,440.00,4,4919.22,0,3,2,java.lang.Object,0.00,26,0,54,8,26,28,2,62,1050,2
