Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.jackrabbit.webdav.search.QueryGrammerSet",5,0.00,2.20,37,0.42,15726.35,6,1,7,17,6,69.46,36,43,3,2,111.75,0.00,0.50,1.00,0,0.00,3,1246.10,1,3,3,org.apache.jackrabbit.webdav.property.AbstractDavProperty,0.18,12,1,11,0,12,2,1,6,267,1
"org.apache.jackrabbit.webdav.search.SearchConstants",0,0.00,0.00,9,0.15,3100.00,8,8,3,2,5,171.00,48,10,3,1,171.00,0.00,0.00,0.00,0,0.00,0,440.00,0,0,2,,0.00,2,0,0,0,2,0,0,9,88,1
"org.apache.jackrabbit.webdav.search.SearchRequest",5,0.12,1.40,18,0.20,5036.21,7,2,2,16,5,81.00,53,25,4,1,129.48,0.00,0.00,0.40,0,0.00,3,611.23,0,3,1,java.lang.Object,0.00,11,0,7,0,11,2,1,6,142,1
"org.apache.jackrabbit.webdav.search.SearchResource",2,2.00,1.00,5,0.03,256.09,4,2,2,2,5,123.03,29,6,1,1,143.18,0.00,0.00,0.00,0,2.00,1,102.41,0,2,4,,0.00,0,0,2,0,0,0,0,5,32,1
"org.apache.jackrabbit.webdav.spi.AbstractItemResource",16,0.20,2.81,114,1.50,45876.35,18,2,15,61,26,69.72,120,174,3,2,112.01,7.00,0.11,0.31,2,70.00,7,4487.17,5,5,23,org.apache.jackrabbit.webdav.spi.AbstractResource,0.13,45,1,45,7,45,11,2,32,909,1
"org.apache.jackrabbit.webdav.spi.AbstractResource",44,0.03,1.68,205,2.57,78608.24,56,12,20,113,44,90.59,265,280,3,1,122.81,0.00,0.00,0.05,13,848.00,6,7720.64,0,14,41,java.lang.Object,0.00,69,0,74,9,69,30,4,75,1613,1
"org.apache.jackrabbit.webdav.spi.DavLocatorFactoryImpl",3,0.50,3.33,35,0.44,24739.49,5,2,3,15,4,100.57,49,46,1,1,101.04,0.00,0.00,0.17,0,4.00,8,1332.34,0,2,3,java.lang.Object,0.00,12,0,10,0,12,1,1,15,256,1
"org.apache.jackrabbit.webdav.spi.DavLocatorFactoryImpl$DavResourceLocatorImpl",12,0.07,1.92,54,0.52,16613.76,16,4,3,22,2,81.36,88,75,0,1,123.66,0.00,0.00,0.31,1,18.00,4,1553.05,0,6,2,java.lang.Object,0.00,10,0,23,0,10,6,1,12,371,1
"org.apache.jackrabbit.webdav.spi.DavResourceFactoryImpl",5,0.17,3.80,65,1.02,43854.92,8,3,14,38,23,60.53,63,88,1,1,98.09,0.00,0.00,0.47,0,2.00,7,3056.29,0,3,22,java.lang.Object,0.00,33,0,19,0,33,2,1,11,549,1
"org.apache.jackrabbit.webdav.spi.DefaultItemCollection",24,0.33,4.25,285,4.21,154128.89,26,2,13,125,30,53.36,250,399,4,3,101.84,2.50,0.25,0.19,7,48.00,12,12618.17,20,8,26,org.apache.jackrabbit.webdav.spi.AbstractItemResource,0.18,101,2,102,5,101,16,1,62,2281,1
