"","No..Methods","LCOM","AVCC","NOS","HBUG","HEFF","UWCS","INST","PACK","RFC","CBO","MI","CCML","NLOC","F.IN","DIT","MINC","S.R","R.R","COH","LMC","LCOM2","MAXCC","HVOL","HIER","NQU","FOUT","SIX","EXT","NSUP","TCC","NSUB","MPC","NCO","INTR","CCOM","HLTH","MOD"
"org.apache.jackrabbit.webdav.search.QueryGrammerSet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.jackrabbit.webdav.search.SearchConstants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.jackrabbit.webdav.search.SearchRequest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.jackrabbit.webdav.search.SearchResource",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.jackrabbit.webdav.spi.AbstractItemResource",6,0,0.0100000000000002,62,0.91,38791.84,7,1,3,29,8,-3.11999999999999,48,79,0,0,-3.12,0,0,-0.17,4,98,0,2721.02,1,5,8,-0.09,23,0,18,0,23,1,1,18,511,0
"org.apache.jackrabbit.webdav.spi.AbstractResource",-9,-0.01,-0.17,-64,-0.94,-36112.78,-10,-1,-6,-30,-9,15.7,-67,-82,0,0,1.34999999999999,0,0,0.02,-7,-236,0,-2845.39,0,-3,-9,0,-21,0,-21,0,-21,-6,-1,-21,-536,0
"org.apache.jackrabbit.webdav.spi.DavLocatorFactoryImpl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.jackrabbit.webdav.spi.DavLocatorFactoryImpl$DavResourceLocatorImpl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.jackrabbit.webdav.spi.DavResourceFactoryImpl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.jackrabbit.webdav.spi.DefaultItemCollection",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,1,0,0
"org.apache.jackrabbit.webdav.spi.DefaultItemResource",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"org.apache.jackrabbit.webdav.spi.ItemResourceConstants",0,0,0,-4,-0.1,-3110.05,-4,-4,0,0,-2,0,-3,-4,-2,0,0,0,0,0,0,0,0,-325.84,0,0,0,0,0,0,0,0,0,0,0,-3,-41,0
"org.apache.jackrabbit.webdav.spi.JcrDavException",0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.jackrabbit.webdav.spi.RootCollection",-3,0,-0.0900000000000001,-11,-0.15,-2713.47,-3,0,-5,-7,-4,0.0400000000000063,-16,-20,0,0,0.039999999999992,0,0,0.02,-1,-18,0,-449.06,-1,-1,-4,-0.1,-4,0,-5,0,-4,-2,0,-5,-97,0
"org.apache.jackrabbit.webdav.spi.RootItemCollection",-2,0.25,-0.47,-20,-0.3,-9980.57,-2,0,-5,-12,-3,-7.68000000000001,-3,-23,0,0,10.1,0,0,-0.07,0,-3,-1,-907.9,-3,0,-3,-0.04,-10,0,-5,0,-10,-2,0,-3,-168,0
"org.apache.jackrabbit.webdav.spi.VersionControlledItemCollection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
