Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.jackrabbit.webdav.search.QueryGrammerSet",5,0.00,2.20,37,0.42,15726.35,6,1,7,17,6,69.46,36,43,3,2,111.75,0.00,0.50,1.00,0,0.00,3,1246.10,1,3,3,org.apache.jackrabbit.webdav.property.AbstractDavProperty,0.18,12,1,11,0,12,2,1,6,267,1
"org.apache.jackrabbit.webdav.search.SearchConstants",0,0.00,0.00,9,0.15,3100.00,8,8,3,2,5,171.00,48,10,3,1,171.00,0.00,0.00,0.00,0,0.00,0,440.00,0,0,2,,0.00,2,0,0,0,2,0,0,9,88,1
"org.apache.jackrabbit.webdav.search.SearchRequest",5,0.12,1.40,18,0.20,5036.21,7,2,2,16,5,81.00,53,25,4,1,129.48,0.00,0.00,0.40,0,0.00,3,611.23,0,3,1,java.lang.Object,0.00,11,0,7,0,11,2,1,6,142,1
"org.apache.jackrabbit.webdav.search.SearchResource",2,2.00,1.00,5,0.03,256.09,4,2,2,2,5,123.03,29,6,1,1,143.18,0.00,0.00,0.00,0,2.00,1,102.41,0,2,4,,0.00,0,0,2,0,0,0,0,5,32,1
"org.apache.jackrabbit.webdav.spi.AbstractItemResource",21,0.12,2.90,170,2.31,78562.14,24,3,18,85,34,66.64,164,246,3,2,108.93,6.00,0.12,0.22,5,142.00,7,6942.91,6,9,31,org.apache.jackrabbit.webdav.spi.AbstractResource,0.04,64,1,61,6,64,12,4,49,1366,1
"org.apache.jackrabbit.webdav.spi.AbstractResource",36,0.02,1.58,151,1.77,46941.95,47,11,16,87,37,106.03,203,212,3,1,123.90,0.00,0.00,0.07,7,652.00,6,5308.86,0,11,34,java.lang.Object,0.00,51,0,57,8,51,25,3,56,1161,1
"org.apache.jackrabbit.webdav.spi.DavLocatorFactoryImpl",3,0.50,3.33,35,0.44,24739.49,5,2,3,15,4,100.57,49,46,1,1,101.04,0.00,0.00,0.17,0,4.00,8,1332.34,0,2,3,java.lang.Object,0.00,12,0,10,0,12,1,1,15,256,1
"org.apache.jackrabbit.webdav.spi.DavLocatorFactoryImpl$DavResourceLocatorImpl",12,0.07,1.92,54,0.52,16613.76,16,4,3,22,2,81.36,88,75,0,1,123.66,0.00,0.00,0.31,1,18.00,4,1553.05,0,6,2,java.lang.Object,0.00,10,0,23,0,10,6,1,12,371,1
"org.apache.jackrabbit.webdav.spi.DavResourceFactoryImpl",5,0.17,4.00,66,1.04,44467.03,8,3,15,40,23,60.47,61,91,1,1,98.03,0.00,0.00,0.47,0,2.00,8,3127.01,0,3,22,java.lang.Object,0.00,35,0,20,0,35,2,1,14,557,1
"org.apache.jackrabbit.webdav.spi.DefaultItemCollection",24,0.33,4.25,285,4.20,153927.48,26,2,13,125,29,53.36,251,398,3,3,101.84,2.00,0.29,0.19,7,18.00,12,12602.39,20,8,26,org.apache.jackrabbit.webdav.spi.AbstractItemResource,0.22,101,2,102,4,101,16,1,63,2278,1
