Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.jackrabbit.webdav.search.QueryGrammerSet",6,0.20,2.00,39,0.42,15771.26,7,1,7,18,6,82.66,40,46,3,2,114.88,0.00,0.50,0.83,0,0.00,3,1268.56,1,3,3,org.apache.jackrabbit.webdav.property.AbstractDavProperty,0.17,12,1,12,0,12,3,1,7,275,1
"org.apache.jackrabbit.webdav.search.SearchConstants",0,0.00,0.00,9,0.15,3100.00,8,8,3,2,5,171.00,48,10,3,1,171.00,0.00,0.00,0.00,0,0.00,0,440.00,0,0,2,,0.00,2,0,0,0,2,0,0,9,88,1
"org.apache.jackrabbit.webdav.search.SearchInfo",6,0.00,1.33,23,0.27,6431.99,8,2,2,21,6,79.28,59,31,5,1,129.27,0.00,0.00,0.50,0,0.00,3,810.13,0,4,1,java.lang.Object,0.00,15,0,8,0,15,2,1,7,185,1
"org.apache.jackrabbit.webdav.search.SearchResource",2,2.00,1.00,5,0.03,256.09,4,2,2,2,5,123.03,29,6,1,1,143.18,0.00,0.00,0.00,0,2.00,1,102.41,0,2,4,,0.00,0,0,2,0,0,0,0,5,32,1
"org.apache.jackrabbit.core.fs.vfs.VFSFileSystem",33,0.12,1.91,175,2.99,100577.34,39,6,21,86,5,99.47,175,367,1,1,117.34,0.00,0.00,0.05,6,257.00,5,8980.99,0,12,4,java.lang.Object,0.00,53,0,63,0,53,21,1,43,1830,1
"org.apache.jackrabbit.core.fs.vfs.VFSFileSystemTest",4,0.26,1.00,72,1.02,48429.78,13,9,5,45,3,71.88,58,83,0,3,92.02,0.00,0.67,0.31,1,0.00,1,3062.85,2,1,3,org.apache.jackrabbit.test.JUnitTest,0.00,41,2,4,0,41,3,0,17,564,1
"org.apache.jackrabbit.core.fs.vfs.VFSRAFOutputStream",8,0.12,1.25,41,0.40,8573.83,15,7,5,15,2,121.25,39,66,1,3,121.01,0.00,0.67,0.25,2,18.00,2,1208.95,0,0,1,org.apache.jackrabbit.core.fs.RandomAccessOutputStream,0.33,7,2,10,0,7,8,0,11,275,0
"org.apache.jackrabbit.client.ClientFactoryDelegater",1,0.00,1.00,2,0.02,119.55,1,0,18,1,4,143.41,0,4,2,1,143.41,0.00,0.00,0.00,0,1.00,1,51.02,0,1,2,java.lang.Object,0.00,0,0,1,1,0,0,0,0,16,1
"org.apache.jackrabbit.client.RMIClientFactoryDelegater",1,1.00,1.00,5,0.06,803.46,2,1,18,5,3,172.05,1,8,0,2,122.05,0.00,0.50,0.00,0,1.00,1,181.42,0,1,3,org.apache.jackrabbit.client.ClientFactoryDelegater,0.00,4,1,1,0,4,0,0,1,44,0
"org.apache.jackrabbit.client.RepositoryAccessServlet",10,0.15,3.30,115,1.52,62448.34,21,11,18,48,8,53.89,81,160,5,2,101.99,0.00,0.50,0.23,7,0.00,7,4561.19,0,3,3,javax.servlet.http.HttpServlet,0.00,38,1,33,0,38,7,0,23,865,1
"org.apache.jackrabbit.server.AbstractWebdavServlet",29,0.96,3.03,292,4.24,152464.68,30,1,28,140,38,54.14,288,421,0,2,104.14,2.00,0.25,0.07,3,156.00,12,12720.48,0,0,38,javax.servlet.http.HttpServlet,0.00,111,1,88,2,111,29,1,61,2365,2
"org.apache.jackrabbit.server.RMIRemoteFactoryDelegater",1,1.00,1.00,4,0.05,580.38,2,1,21,4,4,176.78,1,7,0,2,126.78,0.00,0.50,0.00,0,1.00,1,135.05,0,1,4,org.apache.jackrabbit.server.RemoteFactoryDelegater,0.00,3,1,1,0,3,0,0,1,35,0
"org.apache.jackrabbit.server.RemoteFactoryDelegater",1,0.00,1.00,2,0.01,95.05,1,0,21,1,5,144.20,0,4,2,1,144.20,0.00,0.00,0.00,0,1.00,1,41.22,0,1,3,java.lang.Object,0.00,0,0,1,1,0,0,0,0,14,1
"org.apache.jackrabbit.server.RepositoryStartupServlet",8,0.20,4.38,124,1.72,70545.15,18,10,21,47,5,63.50,53,171,1,2,95.72,0.00,0.50,0.28,6,0.00,11,5165.91,2,0,4,javax.servlet.http.HttpServlet,0.00,39,1,35,0,39,8,0,29,933,1
