Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.jackrabbit.core.xml.AbstractSAXEventGenerator",11,0.04,2.09,88,1.37,72560.47,24,13,11,35,12,58.59,115,121,2,1,107.07,0.00,0.00,0.11,6,44.00,11,4120.20,0,0,10,java.lang.Object,0.00,24,0,23,2,24,11,0,34,765,1
"org.apache.jackrabbit.core.xml.DocViewImportHandler",4,0.22,3.50,48,0.80,52423.16,7,3,10,25,8,80.16,23,64,1,2,98.03,0.00,0.50,0.50,0,0.00,10,2398.61,0,0,7,org.xml.sax.helpers.DefaultHandler,0.00,21,1,14,0,21,4,0,9,427,0
"org.apache.jackrabbit.core.xml.DocViewSAXEventGenerator",7,0.11,3.86,98,1.64,99005.98,13,6,19,49,15,46.77,71,146,2,2,95.25,0.00,0.50,0.26,0,4.00,15,4933.89,0,0,13,org.apache.jackrabbit.core.xml.AbstractSAXEventGenerator,0.00,42,1,27,0,42,7,0,37,812,1
"org.apache.jackrabbit.core.xml.ImportHandler",11,0.08,1.82,63,0.82,28056.74,19,8,6,34,7,100.09,59,88,1,2,117.96,0.00,0.50,0.19,0,24.00,6,2452.88,0,0,7,org.xml.sax.helpers.DefaultHandler,0.00,23,1,20,0,23,11,0,27,511,1
"org.apache.jackrabbit.core.xml.SysViewImportHandler",5,0.43,11.00,160,2.93,242574.72,12,7,17,55,12,57.26,72,211,1,2,77.40,0.00,0.50,0.49,1,0.00,26,8776.75,0,0,11,org.xml.sax.helpers.DefaultHandler,0.00,50,1,55,0,50,5,0,57,1375,0
"org.apache.jackrabbit.core.xml.SysViewImportHandler$ImportState",0,0.00,0.00,7,0.05,506.67,6,6,17,0,2,171.00,0,8,0,1,171.00,0.00,0.00,0.00,0,0.00,0,160.00,0,0,2,java.lang.Object,0.00,0,0,0,0,0,0,0,0,40,0
"org.apache.jackrabbit.core.xml.SysViewSAXEventGenerator",7,0.23,2.86,87,1.49,93989.36,18,11,14,39,15,49.89,59,123,2,2,98.00,0.00,0.50,0.29,0,3.00,12,4476.68,0,0,13,org.apache.jackrabbit.core.xml.AbstractSAXEventGenerator,0.00,32,1,20,0,32,7,0,28,751,1
"org.apache.jackrabbit.core.xml.SysViewSAXEventGenerator$Writer",3,0.00,1.33,7,0.07,1447.36,3,0,14,6,0,138.57,2,12,0,1,138.57,0.00,0.00,0.00,0,3.00,2,205.45,0,0,0,java.lang.Object,0.00,3,0,4,0,3,3,0,2,52,0
"org.apache.jackrabbit.core.jndi.BindableRepository",9,0.04,1.11,36,0.38,7097.40,15,6,12,24,5,146.32,35,52,3,1,125.71,0.00,0.00,0.20,1,7.00,2,1133.63,0,5,3,java.lang.Object,0.00,15,0,10,0,15,4,3,17,271,0
"org.apache.jackrabbit.core.jndi.BindableRepositoryFactory",2,1.00,2.50,16,0.24,8116.22,3,1,7,12,1,60.58,16,27,1,1,108.69,0.00,0.00,0.50,0,2.00,4,731.93,0,1,1,java.lang.Object,0.00,10,0,5,0,10,1,1,5,144,1
"org.apache.jackrabbit.core.jndi.RegistryHelper",3,0.00,1.33,10,0.11,2229.24,3,0,3,7,3,82.42,24,20,2,1,130.53,0.00,0.00,0.00,0,3.00,2,321.88,0,0,1,java.lang.Object,0.00,4,0,4,0,4,3,0,4,75,1
"org.apache.jackrabbit.test.search.AbstractQueryTest",2,0.00,4.00,41,0.49,19532.30,2,0,3,16,4,46.60,22,43,3,4,90.73,1.00,0.43,0.00,1,0.00,5,1473.89,0,0,1,org.apache.jackrabbit.test.AbstractJCRTest,0.00,14,3,8,3,14,2,0,4,264,1
"org.apache.jackrabbit.test.search.FulltextQueryTest",6,0.00,1.00,69,1.19,28607.16,6,0,3,15,2,103.19,3,76,1,5,103.19,0.00,0.80,0.00,0,0.00,1,3570.84,1,0,1,org.apache.jackrabbit.test.search.AbstractQueryTest,0.00,9,4,6,0,9,6,0,1,657,1
"org.apache.jackrabbit.test.search.SelectClauseTest",3,0.00,1.00,57,0.97,35959.20,3,0,4,10,2,141.18,3,61,1,5,91.18,0.00,0.80,0.00,0,0.00,1,2910.95,1,0,1,org.apache.jackrabbit.test.search.AbstractQueryTest,0.00,7,4,3,0,7,3,0,1,527,1
"org.apache.jackrabbit.test.search.SimpleQueryTest",12,0.00,1.00,219,3.86,151131.04,12,0,4,27,2,91.89,7,232,1,5,91.89,0.00,0.80,0.00,0,0.00,1,11588.89,1,0,1,org.apache.jackrabbit.test.search.AbstractQueryTest,0.00,15,4,12,0,15,12,0,5,2073,1
"org.apache.jackrabbit.test.search.TestAll",1,0.00,1.00,7,0.06,1740.69,1,0,3,3,3,65.48,10,9,0,2,113.96,0.00,0.50,0.00,0,1.00,1,186.48,0,1,3,junit.framework.TestCase,0.00,2,1,1,0,2,0,0,2,47,1
"org.apache.jackrabbit.core.config.AbstractConfig",4,0.13,3.00,61,0.88,37454.98,14,10,14,29,3,53.31,31,74,2,1,95.60,0.00,0.00,0.20,0,4.00,5,2627.32,0,3,1,java.lang.Object,0.00,25,0,12,2,25,1,1,10,486,1
"org.apache.jackrabbit.core.config.RepositoryConfig",12,0.08,2.17,111,1.50,65096.97,26,14,16,51,7,57.34,128,141,4,2,105.82,0.00,0.50,0.14,2,58.00,8,4504.58,0,9,3,org.apache.jackrabbit.core.config.AbstractConfig,0.00,39,1,26,0,39,3,0,39,823,1
"org.apache.jackrabbit.core.config.WorkspaceConfig",10,0.07,1.50,76,1.02,34573.52,23,13,15,41,10,63.04,103,95,8,2,111.52,0.00,0.50,0.14,1,58.00,4,3060.38,0,8,3,org.apache.jackrabbit.core.config.AbstractConfig,0.00,31,1,15,0,31,2,0,35,570,1
"org.apache.jackrabbit.core.search.jcrql.ASTAndExpr",3,0.00,1.00,7,0.05,490.78,3,0,0,4,4,192.34,3,11,3,2,142.34,0.00,0.50,0.00,0,3.00,1,151.60,0,1,3,org.apache.jackrabbit.core.search.jcrql.SimpleNode,0.00,1,1,3,0,1,2,0,1,46,1
"org.apache.jackrabbit.core.search.jcrql.ASTBracketExpr",3,0.00,1.00,7,0.05,490.78,3,0,0,4,4,192.34,3,11,3,2,142.34,0.00,0.50,0.00,0,3.00,1,151.60,0,1,3,org.apache.jackrabbit.core.search.jcrql.SimpleNode,0.00,1,1,3,0,1,2,0,1,46,1
