Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.jackrabbit.core.fs.BasedFileSystem",22,0.02,1.32,61,0.67,13866.82,24,2,2,46,6,158.28,72,92,3,1,137.66,0.00,0.00,0.48,1,0.00,6,2015.61,0,6,3,java.lang.Object,0.00,24,0,29,0,24,16,1,25,502,1
"org.apache.jackrabbit.core.fs.FileSystem",20,2.00,1.00,23,0.22,1581.24,22,2,2,20,23,107.95,177,25,21,1,156.05,0.00,0.00,0.00,0,20.00,1,662.13,0,5,2,,0.00,0,0,20,0,0,15,0,23,205,1
"org.apache.jackrabbit.core.fs.FileSystemException",4,0.00,1.00,9,0.05,332.37,4,0,1,4,18,112.43,27,14,17,3,144.65,0.00,0.67,0.00,0,4.00,1,136.79,0,0,1,org.apache.jackrabbit.core.BaseException,0.00,0,2,4,0,0,4,0,5,46,1
"org.apache.jackrabbit.core.fs.FileSystemPathUtil",7,0.08,2.00,73,0.77,33719.21,11,4,2,23,5,62.25,54,78,4,1,104.54,0.00,0.00,0.18,1,23.00,4,2310.87,0,6,1,java.lang.Object,0.00,16,0,14,0,16,1,0,11,470,2
"org.apache.jackrabbit.core.fs.FileSystemResource",19,0.22,1.58,65,0.66,18145.18,21,2,3,37,19,129.87,90,101,15,1,129.63,0.00,0.00,0.71,3,0.00,5,1978.22,0,7,4,java.lang.Object,0.00,18,0,30,0,18,12,0,21,470,1
"org.apache.jackrabbit.core.fs.RandomAccessOutputStream",1,0.00,1.00,2,0.02,132.18,1,0,2,1,5,105.50,12,3,5,2,143.07,1.00,0.33,0.00,0,1.00,1,52.87,0,0,0,java.io.OutputStream,0.00,0,1,1,1,0,1,0,2,17,2
"org.apache.jackrabbit.test.observation.AbstractObservationTest",10,0.39,1.40,44,0.56,13891.82,12,2,7,24,6,73.72,91,68,5,4,123.72,1.67,0.33,0.15,2,30.00,3,1679.04,1,0,1,org.apache.jackrabbit.test.AbstractJCRTest,0.31,14,3,14,5,14,10,0,13,367,2
"org.apache.jackrabbit.test.observation.EventResult",3,0.33,2.33,25,0.26,5516.70,6,3,8,14,5,73.85,36,35,5,1,111.41,0.00,0.00,0.56,0,0.00,3,788.38,0,1,0,java.lang.Object,0.00,11,0,7,0,11,2,1,10,171,1
"org.apache.jackrabbit.test.observation.NodeAddedTest",4,0.00,1.00,37,0.45,9464.35,4,0,3,9,3,90.96,21,42,1,5,108.84,0.00,0.80,0.00,0,0.00,1,1359.22,3,0,2,org.apache.jackrabbit.test.observation.AbstractObservationTest,0.00,5,4,4,0,5,4,0,2,275,1
"org.apache.jackrabbit.test.observation.NodeRemovedTest",3,0.00,1.00,34,0.39,8001.73,3,0,3,8,3,155.17,4,38,1,5,105.17,0.00,0.80,0.00,0,0.00,1,1157.90,3,0,2,org.apache.jackrabbit.test.observation.AbstractObservationTest,0.00,5,4,3,0,5,3,0,1,233,1
