Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.jackrabbit.webdav.version.ActivityResource",0,0.00,0.00,5,0.11,3438.72,4,4,1,1,4,171.00,66,6,2,2,171.00,0.00,0.50,0.00,0,0.00,0,320.95,0,0,2,,0.00,1,1,0,0,1,0,0,5,70,1
"org.apache.jackrabbit.webdav.version.BaselineResource",1,2.00,1.00,4,0.06,1353.17,3,2,3,2,5,74.93,51,5,1,2,123.88,0.00,0.50,0.00,0,1.00,1,183.88,0,1,4,,0.00,1,1,1,0,1,0,0,4,45,1
"org.apache.jackrabbit.webdav.version.DeltaVConstants",0,0.00,0.00,44,0.95,21563.97,43,43,3,1,32,171.00,275,45,29,1,171.00,0.00,0.00,0.00,0,0.00,0,2837.36,0,0,3,,0.00,1,0,0,0,1,0,0,38,428,1
"org.apache.jackrabbit.webdav.version.DeltaVResource",4,2.00,1.00,7,0.06,480.39,6,2,5,4,17,172.76,73,8,11,2,154.62,0.00,0.50,0.00,0,4.00,1,183.94,0,2,7,,0.00,0,1,4,0,0,2,0,8,55,1
"org.apache.jackrabbit.webdav.version.DeltaVServletRequest",6,0.00,1.00,7,0.04,244.95,6,0,3,6,8,110.21,48,8,1,2,158.31,0.00,0.50,0.00,0,6.00,1,125.38,0,5,7,,0.00,0,1,6,0,0,1,0,7,46,1
"org.apache.jackrabbit.webdav.version.LabelInfo",9,0.03,2.11,67,0.79,33295.91,17,8,9,20,17,78.98,61,84,11,1,111.21,0.00,0.00,0.15,0,38.00,5,2377.15,0,2,6,java.lang.Object,0.00,11,0,19,0,11,7,2,7,473,1
"org.apache.jackrabbit.webdav.version.LabelSetProperty",3,0.25,1.33,16,0.15,3326.12,5,2,6,6,6,121.12,12,18,2,2,120.88,0.00,0.50,0.33,0,1.00,2,463.19,1,2,4,org.apache.jackrabbit.webdav.property.AbstractDavProperty,0.00,3,1,4,0,3,1,0,3,106,1
"org.apache.jackrabbit.webdav.version.MergeInfo",8,0.05,2.12,51,0.63,19273.59,11,3,13,30,16,67.06,71,66,8,1,115.17,0.00,0.00,0.38,0,0.00,4,1899.91,0,5,8,java.lang.Object,0.00,22,0,17,0,22,3,2,10,391,1
"org.apache.jackrabbit.webdav.version.OptionsInfo",5,0.25,2.20,31,0.38,9261.60,7,2,13,21,15,67.58,51,39,8,1,116.06,0.00,0.00,0.30,0,10.00,3,1136.76,0,2,7,java.lang.Object,0.00,16,0,11,0,16,3,1,7,241,1
"org.apache.jackrabbit.webdav.version.OptionsResponse",4,0.17,2.50,38,0.59,18664.29,6,2,14,31,12,68.74,49,46,6,1,106.30,0.00,0.00,0.38,0,0.00,4,1763.22,0,3,6,java.lang.Object,0.00,27,0,10,0,27,1,2,5,344,1
