Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.jackrabbit.webdav.search.QueryGrammerSet",5,0.25,1.60,31,0.36,13070.93,6,1,9,15,8,72.66,36,37,3,2,114.95,0.00,0.50,0.80,0,0.00,3,1082.80,1,3,5,org.apache.jackrabbit.webdav.property.AbstractDavProperty,0.00,10,1,8,0,10,2,1,6,232,1
"org.apache.jackrabbit.webdav.search.QueryGrammerSet$Grammer",3,0.17,1.67,16,0.12,1760.30,6,3,9,6,2,123.01,0,22,0,1,123.01,0.00,0.00,0.22,0,1.00,3,361.13,0,0,2,java.lang.Object,0.00,3,0,5,0,3,3,0,0,95,1
"org.apache.jackrabbit.webdav.search.SearchConstants",0,0.00,0.00,9,0.15,3100.00,8,8,3,2,6,171.00,51,10,3,1,171.00,0.00,0.00,0.00,0,0.00,0,440.00,0,0,3,,0.00,2,0,0,0,2,0,0,12,88,1
"org.apache.jackrabbit.webdav.search.SearchInfo",8,0.05,1.62,57,0.70,25989.14,14,6,17,29,13,61.71,77,66,6,1,111.71,0.00,0.00,0.21,0,24.00,5,2103.92,0,6,7,java.lang.Object,0.00,21,0,13,0,21,2,2,11,429,1
"org.apache.jackrabbit.webdav.search.SearchResource",2,2.00,1.00,5,0.03,256.09,4,2,2,2,10,123.03,29,6,6,1,143.18,0.00,0.00,0.00,0,2.00,1,102.41,0,2,4,,0.00,0,0,2,0,0,0,0,5,32,1
"org.apache.jackrabbit.server.AbstractWebdavServlet",44,0.48,3.16,405,5.81,203869.33,46,2,64,159,54,56.27,414,582,2,2,106.27,2.00,0.25,0.03,6,280.00,31,17442.47,1,6,52,javax.servlet.http.HttpServlet,0.00,115,1,139,2,115,38,1,83,3218,2
"org.apache.jackrabbit.server.BasicCredentialsProvider",2,1.00,4.00,30,0.47,30854.18,3,1,9,17,5,111.96,36,43,2,1,93.83,0.00,0.00,0.50,0,2.00,7,1400.27,0,1,3,java.lang.Object,0.00,15,0,8,0,15,1,1,4,243,1
"org.apache.jackrabbit.server.CredentialsProvider",1,0.00,1.00,2,0.01,78.44,1,0,4,1,3,100.72,11,4,3,1,144.85,0.00,0.00,0.00,0,1.00,1,41.22,0,1,0,,0.00,0,0,1,0,0,0,0,2,14,1
"org.apache.jackrabbit.server.SessionProvider",2,0.00,1.00,3,0.03,158.68,2,0,6,2,4,106.04,19,5,4,1,156.04,0.00,0.00,0.00,0,2.00,1,86.25,0,1,0,,0.00,0,0,2,0,0,1,0,3,26,1
"org.apache.jackrabbit.server.SessionProviderImpl",3,1.00,1.00,9,0.09,1142.19,4,1,7,6,4,115.01,16,15,2,1,132.88,0.00,0.00,0.33,0,4.00,1,262.99,0,1,2,java.lang.Object,0.00,3,0,3,0,3,2,1,5,67,1
"org.apache.jackrabbit.test.api.query.AbstractOrderByTest",7,0.00,2.14,73,0.93,27001.38,9,2,11,23,6,87.41,41,73,5,5,105.28,1.25,0.40,0.50,1,0.00,3,2799.41,1,0,1,org.apache.jackrabbit.test.api.query.AbstractQueryTest,0.17,16,4,15,5,16,7,0,10,543,0
