Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.jackrabbit.webdav.search.QueryGrammerSet",5,0.25,1.60,31,0.36,13070.93,6,1,9,15,8,72.66,36,37,3,2,114.95,0.00,0.50,0.80,0,0.00,3,1082.80,1,3,5,org.apache.jackrabbit.webdav.property.AbstractDavProperty,0.00,10,1,8,0,10,2,1,6,232,1
"org.apache.jackrabbit.webdav.search.QueryGrammerSet$Grammer",3,0.17,1.67,16,0.12,1760.30,6,3,9,6,2,123.01,0,22,0,1,123.01,0.00,0.00,0.22,0,1.00,3,361.13,0,0,2,java.lang.Object,0.00,3,0,5,0,3,3,0,0,95,1
"org.apache.jackrabbit.webdav.search.SearchConstants",0,0.00,0.00,9,0.15,3100.00,8,8,3,2,6,171.00,48,10,3,1,171.00,0.00,0.00,0.00,0,0.00,0,440.00,0,0,3,,0.00,2,0,0,0,2,0,0,9,88,1
"org.apache.jackrabbit.webdav.search.SearchInfo",6,0.05,1.33,29,0.32,10507.45,10,4,8,17,12,74.46,60,38,6,1,122.94,0.00,0.00,0.29,0,10.00,3,948.04,0,5,6,java.lang.Object,0.00,11,0,8,0,11,1,2,7,211,1
"org.apache.jackrabbit.webdav.search.SearchResource",2,2.00,1.00,5,0.03,256.09,4,2,2,2,5,123.03,29,6,1,1,143.18,0.00,0.00,0.00,0,2.00,1,102.41,0,2,4,,0.00,0,0,2,0,0,0,0,5,32,1
"org.apache.jackrabbit.session.nodetype.SessionItemDefinition",9,0.17,1.22,33,0.29,7421.56,12,3,4,21,5,80.19,89,47,3,1,130.19,0.00,0.00,0.48,0,0.00,3,871.99,0,2,2,java.lang.Object,0.00,12,0,11,2,12,7,1,13,226,0
"org.apache.jackrabbit.session.nodetype.SessionNodeDefinition",4,0.17,1.25,20,0.20,4209.85,6,2,7,12,5,76.95,46,25,1,2,121.08,0.00,0.50,0.62,0,0.00,2,598.04,0,2,4,org.apache.jackrabbit.session.nodetype.SessionItemDefinition,0.00,8,1,5,0,8,2,1,7,140,1
"org.apache.jackrabbit.session.nodetype.SessionNodeType",10,0.22,1.60,58,0.60,15427.71,13,3,11,29,10,75.58,111,70,2,2,119.71,0.00,0.50,0.53,0,0.00,3,1795.45,0,5,8,org.apache.jackrabbit.base.nodetype.BaseNodeType,0.50,19,1,16,0,19,5,1,14,403,1
"org.apache.jackrabbit.session.nodetype.SessionNodeTypeManager",4,0.33,1.75,27,0.26,6889.86,6,2,9,13,7,78.80,50,34,1,2,116.36,0.00,0.50,0.75,0,0.00,3,784.94,0,1,6,org.apache.jackrabbit.base.nodetype.BaseNodeTypeManager,0.25,9,1,7,0,9,3,1,7,182,2
"org.apache.jackrabbit.session.nodetype.SessionPropertyDefinition",5,0.75,1.00,13,0.09,1026.90,6,1,5,7,4,91.56,45,21,1,2,141.56,0.00,0.50,0.40,0,7.00,1,262.94,0,2,3,org.apache.jackrabbit.session.nodetype.SessionItemDefinition,0.00,2,1,5,0,2,3,1,9,76,1
