Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.jackrabbit.webdav.version.ActivityResource",0,0.00,0.00,5,0.11,3438.72,4,4,1,1,4,171.00,66,6,2,2,171.00,0.00,0.50,0.00,0,0.00,0,320.95,0,0,2,,0.00,1,1,0,0,1,0,0,5,70,1
"org.apache.jackrabbit.webdav.version.BaselineResource",1,2.00,1.00,4,0.06,1353.17,3,2,3,2,5,74.93,51,5,1,2,123.88,0.00,0.50,0.00,0,1.00,1,183.88,0,1,4,,0.00,1,1,1,0,1,0,0,4,45,1
"org.apache.jackrabbit.webdav.version.DeltaVConstants",0,0.00,0.00,44,0.95,21563.97,43,43,3,1,34,171.00,275,45,31,1,171.00,0.00,0.00,0.00,0,0.00,0,2837.36,0,0,3,,0.00,1,0,0,0,1,0,0,38,428,1
"org.apache.jackrabbit.webdav.version.DeltaVResource",4,2.00,1.00,7,0.06,480.39,6,2,5,4,17,172.76,73,8,11,2,154.62,0.00,0.50,0.00,0,4.00,1,183.94,0,2,7,,0.00,0,1,4,0,0,2,0,8,55,1
"org.apache.jackrabbit.webdav.version.DeltaVServletRequest",6,0.00,1.00,7,0.04,244.95,6,0,3,6,8,110.21,48,8,1,2,158.31,0.00,0.50,0.00,0,6.00,1,125.38,0,5,7,,0.00,0,1,6,0,0,1,0,7,46,1
"org.apache.jackrabbit.webdav.version.LabelInfo",9,0.03,2.11,67,0.79,33295.91,17,8,9,20,18,78.98,61,84,12,1,111.21,0.00,0.00,0.15,0,38.00,5,2377.15,0,2,6,java.lang.Object,0.00,11,0,19,0,11,7,2,7,473,1
"org.apache.jackrabbit.webdav.version.LabelSetProperty",3,0.50,1.33,14,0.15,3137.24,5,2,6,6,6,124.93,12,19,2,2,124.70,0.00,0.50,0.17,0,4.00,2,446.46,1,2,4,org.apache.jackrabbit.webdav.property.AbstractDavProperty,0.00,3,1,4,0,3,1,0,3,103,1
"org.apache.jackrabbit.webdav.version.MergeInfo",8,0.05,2.12,49,0.62,19315.97,11,3,13,30,17,67.06,71,66,9,1,115.16,0.00,0.00,0.38,0,0.00,4,1851.50,0,5,8,java.lang.Object,0.00,22,0,17,0,22,3,2,10,383,1
"org.apache.jackrabbit.webdav.version.OptionsInfo",5,0.38,2.00,26,0.33,8088.32,7,2,13,21,15,71.02,51,35,8,1,119.50,0.00,0.00,0.20,0,11.00,3,1000.82,0,2,7,java.lang.Object,0.00,16,0,10,0,16,3,1,7,215,1
"org.apache.jackrabbit.webdav.version.OptionsResponse",4,0.33,2.50,35,0.54,18422.10,6,2,13,28,12,70.69,49,44,6,1,108.25,0.00,0.00,0.25,0,4.00,4,1622.66,0,3,6,java.lang.Object,0.00,24,0,10,0,24,1,2,5,321,1
