"","factor","MeanDecreaseGini"
"1","SUM_HEFF",48.1089936465136
"2","Mean_HEFF",42.8632016947255
"3","Mean_LCOM2",26.8263438153991
"4","Mean_HEFF",48.6615449899515
"5","Mean_LCOM2",31.6221632783419
"6","Mean_F.IN",30.6354515417567
"7","SUM_HEFF",34.1243802651695
"8","Mean_HEFF",33.1313579362501
"9","SUM_AVCC",28.6061175879997
"10","Mean_HEFF",54.2469151345078
"11","Mean_LCOM",40.9357654897045
"12","SUM_LCOM2",35.8820368981641
"13","Mean_HEFF",48.9886084629687
"14","Mean_LCOM2",33.456749582885
"15","SUM_PACK",29.2217838093565
"16","Mean_HEFF",53.1101356305751
"17","Mean_LCOM2",36.0561378936991
"18","SUM_LCOM2",36.0024335081385
"19","SUM_HEFF",37.7919383131238
"20","SUM_LCOM2",28.4493297914948
"21","SUM_AVCC",25.0911597140527
"22","Mean_HEFF",57.2614518141379
"23","Mean_LCOM2",54.6819793952997
"24","SUM_COH",37.2722017149273
"25","Mean_HEFF",64.4964339271157
"26","Mean_LCOM2",48.0601060747174
"27","SUM_COH",39.9546219669728
"28","Mean_HEFF",55.2260897857747
"29","SUM_PACK",32.093037643683
"30","Mean_LCOM",31.5542376382941
"31","Mean_HEFF",32.188367020305
"32","SUM_HEFF",31.9781550874132
"33","SUM_LCOM2",25.2744567846049
"34","Mean_HEFF",47.1750177336672
"35","SUM_COH",33.4176377089836
"36","Mean_F.IN",30.2271401769255
"37","Mean_HEFF",51.8739968107385
"38","SUM_COH",34.3095699173396
"39","SUM_LCOM2",34.1530752557168
"40","Mean_CCML",30.6116232360817
"41","Mean_HEFF",28.5938128207044
"42","SUM_CCML",27.2243902723278
"43","Mean_HEFF",42.7518022740543
"44","SUM_PACK",30.7663891687631
"45","Mean_LCOM",29.3806521774333
"46","Mean_HEFF",47.5033458284334
"47","Mean_CCOM",34.9842516015736
"48","SUM_PACK",28.4180696368818
"49","Mean_HEFF",73.4916353864034
"50","Mean_LCOM2",60.2336220213069
"51","SUM_PACK",40.3512759587883
"52","SUM_HEFF",47.161651859928
"53","Mean_LCOM2",26.1606710656169
