"","factor","MeanDecreaseGini"
"1","AvgAge",8.78930085492715
"2","MaxAge",7.75025830787321
"3","numChangeOperations",7.36201849513464
"4","AvgAge",8.46595488975336
"5","MaxAge",8.0285145744333
"6","numChangeOperations",7.45538796632268
"7","MaxAge",8.49140955985722
"8","AvgAge",8.11412804138841
"9","numChangeOperations",7.28116553088558
"10","MaxAge",8.60466174782885
"11","AvgAge",8.45179188427695
"12","numChangeOperations",7.98599449877188
"13","AvgAge",8.66817869679223
"14","MaxAge",8.64949623450143
"15","numChangeOperations",7.10609671128556
"16","MaxAge",8.82815861864501
"17","AvgAge",8.60589927946292
"18","effectiveNumOperations",7.01249030437185
"19","MaxAge",9.59390719499226
"20","AvgAge",9.53670250732754
"21","numChangeOperations",7.05620467513008
"22","AvgAge",9.00479795656196
"23","MaxAge",7.81168971973838
"24","numChangeOperations",7.37692529295806
"25","AvgAge",8.3805638186245
"26","MaxAge",7.72590224766719
"27","numChangeOperations",7.00405694712227
"28","AvgAge",8.29427895216443
"29","MaxAge",7.81589419466337
"30","numChangeOperations",7.4682144221583
"31","AvgAge",8.338898784639
"32","MaxAge",8.10477701596396
"33","effectiveNumOperations",6.92829464131093
"34","MaxAge",9.49307147948817
"35","AvgAge",9.01907436585986
"36","effectiveNumOperations",7.317950846815
"37","AvgAge",8.76110127685601
"38","MaxAge",8.39739880185211
"39","NumParents_depth_3",6.58730788819385
"40","AvgAge",8.67262763916057
"41","MaxAge",8.25654843420857
"42","AvgLastModified",6.90060987216681
"43","MaxAge",8.4157649805033
"44","AvgAge",8.40293382298149
"45","numChangeOperations",7.99855056816389
"46","AvgAge",8.80708823364515
"47","MaxAge",8.63830480592855
"48","numChangeOperations",7.21922770667798
"49","MaxAge",8.79017528624587
"50","AvgAge",8.49076489322031
"51","AvgLastModified",7.51391779997902
"52","AvgAge",8.333666239284
"53","MaxAge",8.05831416330437
"54","numChangeOperations",6.90329267080018
"55","AvgAge",8.87809222251962
"56","MaxAge",8.68572080196458
"57","numChangeOperations",7.13026336350299
"58","AvgAge",8.76283703121441
"59","MaxAge",8.32698225856551
"60","effectiveNumOperations",7.21420327692983
"61","AvgAge",8.07480803774676
"62","numChangeOperations",7.96013092197909
"63","MaxAge",7.49293330727452
"64","AvgAge",8.42032411094662
"65","MaxAge",8.36476538764447
"66","numChangeOperations",7.36307639294052
"67","AvgAge",8.9103150505136
"68","MaxAge",8.49649837486149
"69","NumParents_depth_3",6.66135684060379
"70","MaxAge",8.71927147950659
"71","AvgAge",8.16427784972454
"72","numChangeOperations",7.61874730990428
"73","AvgAge",8.46472797320718
"74","MaxAge",8.41849112080167
"75","numChangeOperations",7.62267773340502
"76","AvgAge",8.78194910086224
"77","MaxAge",8.3395440404394
"78","numChangeOperations",7.8361571558214
"79","AvgAge",9.65503335288726
"80","MaxAge",9.014469252509
"81","numChangeOperations",7.40560504005543
"82","AvgAge",8.31945097407832
"83","MaxAge",7.87590207605897
"84","numChangeOperations",7.49911087917396
"85","AvgAge",9.25064328481179
"86","MaxAge",8.83779765631301
"87","numChangeOperations",7.45450555341382
"88","AvgAge",8.48532964161538
"89","MaxAge",8.25241394893068
"90","numChangeOperations",7.35301554912577
"91","AvgAge",9.09629218634645
"92","MaxAge",8.87553176840837
"93","effectiveNumOperations",7.15754897272221
"94","AvgAge",9.18264667781923
"95","MaxAge",8.14792578068514
"96","effectiveNumOperations",6.93350990965925
"97","AvgAge",8.56969813570431
"98","MaxAge",7.5708654069689
"99","numChangeOperations",6.99609617490347
"100","AvgAge",9.38812539852881
"101","MaxAge",7.87851491720667
"102","numChangeOperations",7.59176441846153
"103","AvgAge",9.1148062235553
"104","MaxAge",8.27331207329353
