Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"org.apache.solr.common.util.Base64",3,0.25,4.67,71,1.86,200994.00,5,2,0,9,5,33.37,30,95,5,1,81.85,0.00,0.00,0.33,1,5.00,8,5577.01,0,1,0,java.lang.Object,0.00,6,0,14,0,6,2,0,11,904,1
"org.apache.solr.common.util.ByteUtils",4,0.00,3.75,63,1.28,152892.77,4,0,1,10,3,90.98,17,74,3,1,90.74,0.00,0.00,0.00,1,4.00,7,3843.37,0,1,0,java.lang.Object,0.00,6,0,15,0,6,3,0,10,679,1
"org.apache.solr.common.util.ContentStream",6,0.00,1.00,7,0.02,93.53,6,0,3,6,59,113.50,48,8,59,1,161.61,0.00,0.00,0.00,0,6.00,1,73.02,0,6,0,,0.00,0,0,6,0,0,0,0,5,33,1
"org.apache.solr.common.util.ContentStreamBase",10,0.11,1.30,34,0.31,6551.97,15,5,12,17,38,170.85,29,54,37,1,130.96,0.00,0.00,0.10,2,50.00,3,940.86,0,6,1,java.lang.Object,0.00,7,0,13,6,7,4,1,12,228,2
"org.apache.solr.common.util.ContentStreamBase$FileStream",3,0.00,1.33,13,0.14,2306.12,4,1,12,10,1,175.75,5,21,0,2,125.75,0.00,0.50,1.00,1,0.00,2,426.79,1,2,1,org.apache.solr.common.util.ContentStreamBase,0.15,7,1,4,0,7,1,0,2,100,2
"org.apache.solr.common.util.ContentStreamBase$StringStream",3,0.50,1.33,13,0.14,2292.06,4,1,12,9,1,175.77,4,21,0,2,125.77,0.00,0.50,0.67,1,0.00,2,415.34,1,2,1,org.apache.solr.common.util.ContentStreamBase,0.15,6,1,4,0,6,1,0,1,98,2
"org.apache.solr.common.util.ContentStreamBase$URLStream",2,1.00,1.00,11,0.11,1722.53,3,1,12,8,1,121.81,0,15,0,2,121.81,0.00,0.50,0.50,0,2.00,1,333.40,0,1,1,org.apache.solr.common.util.ContentStreamBase,0.00,6,1,2,0,6,1,0,0,78,2
"org.apache.solr.common.util.ContentStreamTest",3,0.00,2.00,44,0.71,28418.15,3,0,15,39,2,146.77,4,62,0,2,96.77,0.00,0.50,0.00,0,3.00,4,2143.68,0,0,2,org.apache.lucene.util.LuceneTestCase,0.00,36,1,6,0,36,3,0,3,386,1
"org.apache.solr.common.util.DOMUtil",18,0.00,3.67,179,2.68,161831.13,18,0,5,57,19,71.75,113,231,16,1,103.97,0.00,0.00,0.00,9,18.00,14,8028.74,0,11,3,java.lang.Object,0.00,39,0,66,0,39,7,0,55,1493,1
"org.apache.solr.common.util.DOMUtilTest",2,0.00,1.00,31,0.52,20853.62,2,0,1,14,4,95.49,0,34,0,3,95.49,0.00,0.67,0.00,1,2.00,1,1553.08,1,0,4,org.apache.solr.util.DOMUtilTestBase,0.00,12,2,2,0,12,2,0,0,280,1
"org.apache.solr.common.util.DateUtil",5,0.00,5.20,94,1.47,117524.67,14,9,12,32,15,59.99,65,123,15,1,89.37,0.00,0.00,0.11,2,14.00,14,4402.32,0,5,0,java.lang.Object,0.00,27,0,26,0,27,0,0,27,798,1
"org.apache.solr.common.util.DateUtil$ThreadLocalDateFormat",2,0.00,1.00,9,0.08,1070.68,3,1,12,5,0,127.05,1,13,0,2,127.05,0.00,0.50,1.00,0,0.00,1,225.58,0,1,0,java.lang.ThreadLocal,0.00,3,1,2,0,3,1,0,1,59,2
"org.apache.solr.common.util.FastInputStream",26,0.02,1.88,114,1.34,64095.52,31,5,1,37,15,121.69,12,168,15,2,121.69,1.00,0.33,0.22,8,142.00,8,4012.70,0,3,0,java.io.InputStream,0.00,11,1,49,1,11,23,1,10,904,1
"org.apache.solr.common.util.FastOutputStream",25,0.02,1.40,106,1.20,44041.96,29,4,1,34,7,122.90,24,136,7,2,122.90,0.00,0.50,0.23,6,127.00,4,3614.62,0,1,0,java.io.OutputStream,0.00,9,1,35,0,9,24,1,15,822,1
"org.apache.solr.common.util.FastWriter",11,0.28,1.64,64,0.74,38840.22,15,4,2,17,6,166.87,11,86,6,2,116.87,1.00,0.33,0.50,2,0.00,3,2217.34,0,2,0,java.io.Writer,0.00,6,1,18,1,6,9,0,9,488,1
"org.apache.solr.common.util.FileUtils",3,0.00,5.00,34,0.46,25986.89,3,0,2,20,9,58.48,21,49,9,1,100.78,0.00,0.00,0.00,0,3.00,8,1392.62,0,1,0,java.lang.Object,0.00,17,0,15,0,17,2,0,5,266,1
"org.apache.solr.common.util.FileUtilsTest",1,0.00,1.00,6,0.12,3345.66,1,0,3,5,1,114.22,0,8,0,2,114.22,0.00,0.50,0.00,0,1.00,1,363.34,0,0,1,org.apache.lucene.util.LuceneTestCase,0.00,4,1,1,0,4,1,0,0,80,1
"org.apache.solr.common.util.Hash",5,0.00,5.60,196,3.17,675649.62,5,0,0,8,3,114.79,113,158,3,1,70.85,0.00,0.00,0.00,1,5.00,10,9521.61,0,0,0,java.lang.Object,0.00,3,0,28,0,3,5,0,40,1655,1
"org.apache.solr.common.util.IteratorChain",5,0.17,2.20,27,0.26,7860.49,8,3,3,12,2,159.46,12,37,2,1,119.57,0.00,0.00,0.47,1,1.00,4,794.87,0,0,0,java.lang.Object,0.00,7,0,11,0,7,5,1,6,189,1
"org.apache.solr.common.util.IteratorChainTest",9,0.00,1.56,51,0.60,15786.22,9,0,5,24,1,119.28,4,66,0,2,119.28,0.00,0.50,0.00,1,9.00,2,1809.19,0,2,1,org.apache.lucene.util.LuceneTestCase,0.00,15,1,14,0,15,7,0,4,395,1
"org.apache.solr.common.util.JavaBinCodec",44,0.02,2.91,441,5.52,221756.12,80,36,10,125,25,154.30,48,558,16,1,104.30,0.00,0.00,0.05,24,984.00,16,16549.40,0,12,9,java.lang.Object,0.00,81,0,128,1,81,32,0,18,3178,1
"org.apache.solr.common.util.JavaBinCodec$ObjectResolver",1,0.00,1.00,2,0.02,108.48,1,0,10,1,1,143.74,0,3,0,1,143.74,0.00,0.00,0.00,0,1.00,1,48.15,0,1,1,,0.00,0,0,1,0,0,0,0,0,16,2
"org.apache.solr.common.util.NamedList",24,0.43,1.79,117,1.35,45071.04,25,1,2,48,319,90.41,151,145,319,1,122.63,0.00,0.00,0.58,7,0.00,5,4035.43,0,6,0,java.lang.Object,0.00,24,0,43,1,24,18,3,27,901,1
"org.apache.solr.common.util.NamedList$Iterator<Map.Entry<String,T>>",3,0.50,1.00,10,0.10,1724.48,4,1,2,6,0,131.47,0,13,0,1,131.47,0.00,0.00,0.67,0,1.00,1,292.28,0,1,0,java.lang.Object,0.00,3,0,3,0,3,2,0,0,74,0
